Species,Pond_Area,Soil_Type,Water_Source,Season,Recommended_Stocking,Survival_Rate
Banana Prawn,3.31,Loamy,River,Winter,3161,73.38
Mud Crab,0.55,Clay,Borewell,Summer,24715,75.81
Freshwater Prawn,3.81,Clay,Canal,Summer,9313,82.2
Barramundi,1.77,Sandy,Canal,Summer,18629,86.42
Tilapia,1.41,Loamy,Canal,Winter,19221,73.31
Mud Crab,3.44,Loamy,Canal,Monsoon,40844,88.87
Pangasius,1.65,Loamy,Canal,Summer,29624,84.54
Dungeness Crab,4.63,Sandy,Canal,Monsoon,14312,86.89
Seabass,4.71,Clay,River,Monsoon,34559,71.55
Blue Swimmer Crab,2.27,Clay,Canal,Monsoon,37087,72.36
Snow Crab,0.79,Loamy,Borewell,Winter,40491,76.7
Carp,0.62,Clay,Canal,Monsoon,29444,72.3
Seabass,2.3,Loamy,Canal,Winter,48545,83.83
Black Tiger Shrimp,0.68,Clay,River,Winter,24631,72.45
Banana Prawn,2.95,Sandy,Borewell,Summer,29654,86.9
Snow Crab,4.03,Sandy,Borewell,Winter,42573,87.18
Tuna,3.12,Sandy,River,Summer,40239,82.45
Seabass,1.35,Loamy,Canal,Monsoon,28382,93.42
Tilapia,4.44,Sandy,River,Winter,28717,81.49
Dungeness Crab,1.1,Sandy,Canal,Summer,25964,78.12
Grouper,4.6,Clay,Borewell,Summer,25370,79.6
King Prawn,1.9,Sandy,Canal,Summer,11680,88.54
Rohu,2.14,Loamy,River,Monsoon,17020,81.04
Trout,4.35,Sandy,Canal,Summer,39867,93.8
Black Tiger Shrimp,1.99,Loamy,River,Monsoon,17963,94.81
Whiteleg Shrimp,2.32,Sandy,River,Monsoon,4428,87.49
Dungeness Crab,1.65,Clay,Canal,Monsoon,35776,83.27
Dungeness Crab,0.91,Sandy,Borewell,Monsoon,11295,75.31
Mud Crab,1.48,Clay,Borewell,Winter,3259,77.55
Snapper,1.57,Clay,Borewell,Monsoon,23278,76.21
Milkfish,3.04,Loamy,Canal,Summer,46888,92.04
Cod,4.66,Clay,Canal,Monsoon,40598,71.89
Salmon,4.46,Sandy,River,Summer,39714,85.48
Carp,4.05,Loamy,Canal,Summer,41206,83.08
Carp,3.66,Clay,Borewell,Winter,5850,93.4
King Prawn,1.3,Sandy,Canal,Summer,30196,92.88
Banana Prawn,4.85,Sandy,Canal,Winter,8280,89.39
Pangasius,3.01,Loamy,Canal,Monsoon,36855,71.31
Mud Crab,2.31,Sandy,Canal,Winter,12277,77.61
Blue Swimmer Crab,4.14,Clay,Borewell,Monsoon,24660,81.74
Tilapia,0.57,Loamy,Borewell,Winter,47861,80.46
Snow Crab,4.48,Sandy,Canal,Monsoon,34436,84.32
Barramundi,0.69,Clay,River,Monsoon,17667,92.61
Barramundi,1.93,Loamy,River,Winter,22461,91.71
Freshwater Prawn,4.72,Clay,Borewell,Summer,13799,93.17
Trout,4.09,Clay,River,Summer,30224,70.23
Pangasius,2.09,Loamy,Canal,Monsoon,3224,81.12
King Prawn,2.86,Clay,Borewell,Monsoon,22701,90.71
Catfish,0.84,Sandy,Canal,Winter,41134,75.15
King Prawn,1.55,Sandy,Canal,Winter,9157,71.19
Black Tiger Shrimp,4.24,Sandy,Borewell,Winter,41094,73.75
Freshwater Prawn,1.69,Loamy,Canal,Monsoon,11128,82.87
Cod,3.83,Loamy,Borewell,Summer,43574,72.45
Whiteleg Shrimp,1.66,Sandy,Borewell,Monsoon,25350,82.4
Mud Crab,2.37,Sandy,Borewell,Monsoon,14468,74.25
Seabass,1.98,Sandy,Borewell,Summer,3561,83.04
Black Tiger Shrimp,4.12,Clay,Borewell,Monsoon,12937,91.23
King Crab,3.44,Clay,Borewell,Monsoon,33533,94.54
Blue Swimmer Crab,2.85,Loamy,Canal,Summer,24326,86.65
Freshwater Prawn,2.78,Sandy,Canal,Winter,36151,94.03
Vannamei,3.81,Loamy,Canal,Winter,29019,73.79
Seabass,2.38,Loamy,River,Winter,14281,90.7
Salmon,0.82,Clay,Canal,Summer,15413,82.24
Pangasius,1.98,Loamy,Borewell,Summer,32812,89.38
Soft Shell Crab,4.91,Sandy,Canal,Winter,15892,81.05
Freshwater Prawn,1.72,Sandy,River,Summer,20521,81.29
Tilapia,3.67,Sandy,River,Monsoon,38929,72.86
Pangasius,1.91,Sandy,River,Summer,41859,71.67
Catfish,3.81,Loamy,River,Monsoon,24612,70.97
Seabass,4.65,Sandy,Borewell,Summer,4763,73.81
Catfish,2.47,Loamy,Borewell,Winter,19844,93.09
Mud Crab,1.27,Sandy,River,Monsoon,44051,81.56
Freshwater Prawn,1.53,Clay,River,Monsoon,28240,94.41
Grouper,4.59,Loamy,Borewell,Monsoon,33296,90.48
Soft Shell Crab,1.94,Loamy,River,Monsoon,46491,75.57
Grouper,4.32,Sandy,River,Summer,14948,94.25
Salmon,1.75,Sandy,Canal,Summer,8303,77.55
Cod,4.3,Sandy,Borewell,Summer,6672,74.66
Catfish,1.1,Loamy,Borewell,Summer,37102,94.06
Snow Crab,0.75,Clay,Borewell,Winter,19253,83.89
Grouper,3.74,Sandy,Canal,Summer,24798,73.77
Vannamei,3.51,Clay,Canal,Monsoon,23840,75.98
Tiger Prawn,1.0,Sandy,Borewell,Winter,12492,70.24
Tilapia,3.86,Sandy,Borewell,Summer,20418,73.78
Carp,1.95,Clay,River,Monsoon,45231,91.9
Snow Crab,1.18,Loamy,River,Winter,7324,91.17
Whiteleg Shrimp,2.21,Clay,Canal,Summer,37497,76.42
Vannamei,3.06,Sandy,Canal,Summer,9983,82.91
Soft Shell Crab,1.17,Clay,Borewell,Monsoon,12443,88.7
Milkfish,2.08,Loamy,Canal,Winter,42941,86.61
Black Tiger Shrimp,2.8,Sandy,River,Summer,2258,79.63
Grouper,0.69,Sandy,River,Winter,45403,79.65
Blue Swimmer Crab,2.57,Loamy,Borewell,Monsoon,6870,70.56
Dungeness Crab,1.46,Sandy,River,Winter,28509,88.57
Snow Crab,2.11,Loamy,Borewell,Summer,37351,74.71
Tilapia,1.58,Sandy,Canal,Summer,46260,91.42
Tiger Prawn,2.58,Loamy,River,Winter,15276,83.36
Vannamei,3.89,Sandy,Canal,Winter,41603,74.34
Catfish,4.79,Loamy,Borewell,Monsoon,47592,84.07
Snapper,3.85,Loamy,River,Monsoon,10076,78.33
Catfish,4.72,Clay,Canal,Monsoon,35940,91.93
Carp,4.67,Sandy,River,Monsoon,39698,85.56
Cod,0.62,Loamy,River,Monsoon,7578,73.41
Grouper,1.58,Sandy,River,Summer,25481,91.38
Dungeness Crab,4.6,Sandy,Borewell,Winter,5276,87.38
Carp,2.72,Sandy,Borewell,Winter,3235,86.83
Whiteleg Shrimp,2.55,Sandy,River,Winter,41407,89.32
Snapper,1.24,Loamy,River,Monsoon,27715,71.36
Trout,3.65,Clay,Canal,Summer,44601,74.92
Mud Crab,2.66,Loamy,River,Winter,18818,70.91
Trout,3.9,Clay,Canal,Monsoon,32507,80.86
Milkfish,1.19,Sandy,River,Monsoon,43938,75.59
Salmon,4.0,Sandy,Canal,Monsoon,47273,72.47
Cod,2.41,Clay,Canal,Monsoon,34740,83.39
Mud Crab,1.16,Sandy,Borewell,Winter,45313,89.94
Seabass,1.99,Loamy,Canal,Summer,7981,90.53
Whiteleg Shrimp,3.3,Loamy,Canal,Monsoon,7181,71.56
Blue Swimmer Crab,2.74,Sandy,Borewell,Summer,24257,73.79
King Prawn,3.23,Sandy,Canal,Summer,42489,89.38
Tilapia,2.3,Clay,Borewell,Monsoon,18650,94.75
Snow Crab,4.31,Sandy,Canal,Monsoon,4885,94.53
Freshwater Prawn,0.54,Loamy,Canal,Summer,43244,80.8
Blue Swimmer Crab,2.94,Sandy,River,Summer,44548,90.98
Tuna,1.01,Loamy,Canal,Winter,34709,79.62
Dungeness Crab,1.87,Clay,Borewell,Summer,19177,90.92
Tiger Prawn,3.52,Clay,Canal,Monsoon,35186,79.2
Snow Crab,1.84,Loamy,Canal,Monsoon,40272,70.86
Snow Crab,4.77,Sandy,Canal,Monsoon,30837,92.77
Snapper,1.99,Sandy,River,Monsoon,42060,75.5
Seabass,4.99,Loamy,Canal,Summer,33831,90.48
Mud Crab,4.94,Clay,River,Monsoon,22917,87.89
Grouper,3.62,Loamy,Canal,Monsoon,20589,85.5
Snow Crab,4.52,Sandy,Canal,Summer,25432,94.03
Rohu,4.63,Loamy,River,Summer,46990,91.74
Milkfish,1.1,Sandy,Canal,Summer,12253,89.82
Grouper,2.43,Loamy,River,Winter,39200,74.66
Vannamei,4.06,Loamy,River,Monsoon,26842,93.4
Trout,0.6,Clay,Borewell,Summer,5946,91.6
Blue Swimmer Crab,3.2,Clay,River,Monsoon,48703,81.26
Trout,2.42,Loamy,Borewell,Winter,8836,72.41
Salmon,0.86,Clay,River,Winter,15409,75.87
King Prawn,4.77,Clay,Canal,Summer,24688,94.41
Blue Swimmer Crab,4.52,Clay,Canal,Winter,36675,71.0
Catfish,2.88,Sandy,Canal,Winter,46579,76.27
Mud Crab,1.23,Sandy,Canal,Winter,6599,78.56
Salmon,3.82,Clay,River,Monsoon,37621,88.52
Milkfish,4.63,Sandy,River,Monsoon,5940,80.45
Barramundi,2.46,Clay,Borewell,Winter,48940,70.33
Dungeness Crab,4.02,Clay,River,Winter,11149,93.01
Black Tiger Shrimp,1.11,Loamy,River,Monsoon,22256,89.95
Trout,4.05,Clay,River,Summer,40084,91.89
King Prawn,2.47,Loamy,Canal,Winter,4031,84.29
Milkfish,4.58,Sandy,River,Winter,22604,89.24
Rohu,3.35,Sandy,River,Summer,18102,80.21
King Prawn,4.38,Sandy,Borewell,Summer,14504,92.4
Trout,3.99,Clay,River,Monsoon,6271,71.57
Carp,0.81,Clay,Canal,Monsoon,4848,86.04
Tilapia,0.69,Sandy,Borewell,Monsoon,25999,80.49
Barramundi,1.63,Loamy,Borewell,Winter,29711,74.31
Milkfish,2.83,Clay,Canal,Monsoon,42192,85.66
Freshwater Prawn,2.17,Sandy,Canal,Summer,10674,76.41
Cod,3.67,Clay,River,Monsoon,20646,71.22
Soft Shell Crab,4.02,Clay,River,Monsoon,20438,93.79
Rohu,2.1,Clay,River,Monsoon,33512,86.46
Tiger Prawn,4.02,Clay,Canal,Summer,22238,73.77
Blue Swimmer Crab,3.8,Clay,River,Monsoon,31740,81.76
Tiger Prawn,1.29,Sandy,Canal,Monsoon,3400,79.15
Grouper,2.64,Loamy,Canal,Monsoon,29463,77.82
Banana Prawn,2.37,Sandy,Canal,Summer,35646,85.48
Cod,3.92,Sandy,Canal,Monsoon,26071,87.8
Dungeness Crab,2.79,Clay,River,Winter,4244,70.58
Catfish,3.91,Clay,Borewell,Monsoon,25657,75.46
Freshwater Prawn,1.44,Loamy,River,Summer,46944,81.59
Salmon,1.69,Loamy,Canal,Summer,23339,77.0
Tiger Prawn,1.32,Clay,Canal,Winter,22083,94.43
King Prawn,1.56,Clay,Borewell,Winter,15206,91.73
Rohu,0.5,Sandy,River,Summer,26581,94.02
Whiteleg Shrimp,3.51,Loamy,Borewell,Summer,10532,83.65
Mud Crab,3.3,Loamy,Canal,Winter,2921,75.06
Tilapia,3.2,Clay,River,Monsoon,40777,78.36
Cod,2.29,Sandy,Borewell,Summer,3834,72.84
King Prawn,1.46,Loamy,Canal,Summer,22508,82.43
Snapper,4.52,Clay,River,Monsoon,24563,92.01
Soft Shell Crab,4.61,Sandy,Canal,Summer,23588,86.88
Banana Prawn,1.0,Clay,Canal,Monsoon,20468,70.27
Soft Shell Crab,2.55,Sandy,Canal,Monsoon,20224,94.27
Trout,3.07,Loamy,River,Monsoon,41882,88.56
Vannamei,1.92,Sandy,River,Summer,37950,92.98
Vannamei,1.09,Loamy,River,Monsoon,37675,75.32
Vannamei,2.82,Clay,River,Winter,38166,78.06
Vannamei,3.39,Sandy,Canal,Monsoon,30332,81.48
Trout,3.72,Loamy,Borewell,Monsoon,5646,79.21
Banana Prawn,3.81,Clay,Canal,Winter,22794,72.84
Carp,4.91,Clay,Borewell,Winter,43577,71.58
Freshwater Prawn,3.46,Clay,Canal,Winter,31734,87.57
Barramundi,2.62,Sandy,Borewell,Monsoon,2532,74.31
Tiger Prawn,2.66,Clay,Borewell,Monsoon,7387,79.36
Pangasius,1.42,Sandy,River,Winter,39290,79.96
King Prawn,2.42,Loamy,Borewell,Winter,37439,89.31
Trout,0.76,Sandy,Canal,Winter,25935,87.89
Snapper,1.31,Loamy,River,Monsoon,21823,71.37
Snapper,2.27,Clay,Canal,Winter,2067,72.94
Catfish,3.84,Loamy,Canal,Summer,34690,80.39
Soft Shell Crab,4.07,Clay,Canal,Summer,30676,80.27
Trout,3.42,Clay,Canal,Summer,25790,75.4
Seabass,0.91,Clay,Canal,Monsoon,14053,87.76
Blue Swimmer Crab,1.16,Loamy,Borewell,Winter,15625,79.18
Snow Crab,0.94,Sandy,River,Monsoon,33810,70.74
Trout,0.79,Sandy,Borewell,Summer,7251,86.37
Seabass,2.06,Loamy,Borewell,Winter,40640,92.34
Trout,3.08,Clay,River,Winter,45663,87.73
Whiteleg Shrimp,4.82,Clay,Canal,Winter,39489,70.02
Soft Shell Crab,3.77,Loamy,Canal,Summer,45210,91.21
Seabass,0.58,Sandy,Canal,Winter,43804,76.44
Carp,3.81,Sandy,Borewell,Winter,49256,80.0
Pangasius,2.21,Clay,Borewell,Summer,29117,83.1
Pangasius,4.65,Clay,River,Winter,42637,82.91
Whiteleg Shrimp,2.41,Clay,Borewell,Summer,4068,89.75
Banana Prawn,1.64,Sandy,Canal,Monsoon,27748,93.48
Banana Prawn,3.22,Sandy,River,Monsoon,46973,72.46
Whiteleg Shrimp,2.22,Loamy,Canal,Summer,6185,73.1
Banana Prawn,2.31,Sandy,River,Monsoon,33327,87.52
Dungeness Crab,3.61,Clay,Canal,Winter,31414,81.94
Tilapia,2.09,Loamy,Borewell,Summer,6565,87.18
Blue Swimmer Crab,3.51,Sandy,River,Summer,18810,80.48
Black Tiger Shrimp,1.79,Loamy,Canal,Winter,21083,91.9
Soft Shell Crab,2.82,Sandy,Borewell,Summer,18141,83.26
Tilapia,2.8,Clay,Borewell,Winter,28450,76.38
Catfish,2.6,Sandy,River,Winter,42631,92.48
Black Tiger Shrimp,3.47,Clay,Borewell,Summer,44622,93.05
Cod,4.02,Loamy,Canal,Summer,29952,89.33
Milkfish,3.02,Sandy,Borewell,Summer,30340,93.42
Vannamei,0.51,Sandy,Borewell,Winter,2670,81.47
Snapper,3.34,Sandy,River,Summer,27953,86.09
Milkfish,1.66,Loamy,Borewell,Winter,15381,76.86
King Crab,1.44,Sandy,River,Winter,42955,84.82
Snow Crab,3.03,Sandy,Borewell,Monsoon,32256,92.76
Freshwater Prawn,4.8,Sandy,Canal,Winter,38421,90.31
Snow Crab,2.4,Clay,Borewell,Winter,12309,74.8
Barramundi,1.58,Loamy,River,Summer,44946,94.37
Rohu,0.74,Sandy,Canal,Summer,35145,85.1
Tiger Prawn,3.48,Clay,River,Winter,16598,74.43
Milkfish,4.49,Clay,Borewell,Monsoon,48424,74.59
Freshwater Prawn,3.08,Clay,Canal,Summer,49458,80.09
Snapper,0.63,Clay,Borewell,Winter,5607,91.26
Pangasius,4.46,Loamy,Canal,Monsoon,33009,72.71
Milkfish,2.51,Clay,River,Winter,33849,87.36
Seabass,0.9,Clay,River,Summer,43699,85.7
Blue Swimmer Crab,0.96,Loamy,Canal,Monsoon,37744,94.0
Blue Swimmer Crab,2.69,Sandy,Canal,Winter,33151,80.6
Blue Swimmer Crab,3.05,Sandy,Canal,Monsoon,31954,74.47
Freshwater Prawn,3.81,Clay,Canal,Winter,34252,94.42
Soft Shell Crab,1.56,Sandy,Borewell,Monsoon,23355,72.82
Whiteleg Shrimp,4.52,Loamy,Borewell,Monsoon,8931,79.44
Dungeness Crab,2.31,Sandy,River,Monsoon,20486,72.85
Rohu,1.94,Clay,Canal,Summer,43269,74.91
Cod,0.65,Sandy,Borewell,Summer,28516,73.21
Trout,2.5,Loamy,Borewell,Summer,36698,80.4
Mud Crab,2.26,Clay,Canal,Summer,25990,84.09
Snow Crab,4.8,Clay,Canal,Monsoon,40048,85.53
Whiteleg Shrimp,3.28,Sandy,Borewell,Summer,49379,73.18
King Prawn,2.99,Sandy,River,Monsoon,36796,87.99
Grouper,2.04,Clay,Borewell,Monsoon,3332,87.4
Catfish,3.67,Clay,Canal,Winter,3428,89.27
Whiteleg Shrimp,1.04,Sandy,River,Summer,35306,88.89
Mud Crab,4.97,Clay,River,Winter,8616,75.41
Black Tiger Shrimp,0.84,Loamy,River,Summer,23140,71.07
Tilapia,2.06,Loamy,River,Winter,16740,83.14
Mud Crab,1.81,Sandy,Canal,Winter,32990,87.46
Barramundi,3.08,Sandy,Canal,Summer,16366,80.16
King Crab,3.85,Clay,Borewell,Summer,46242,77.3
Milkfish,2.38,Sandy,River,Monsoon,33122,80.74
Black Tiger Shrimp,4.68,Loamy,River,Monsoon,42558,91.87
Milkfish,3.79,Loamy,Canal,Monsoon,12449,78.21
Trout,2.44,Clay,Canal,Winter,3437,85.37
Dungeness Crab,3.55,Clay,River,Monsoon,34691,90.72
Milkfish,4.7,Sandy,Canal,Summer,9745,70.23
Vannamei,4.0,Loamy,River,Summer,46030,89.97
Snow Crab,3.49,Clay,Borewell,Winter,27563,80.25
Banana Prawn,4.8,Sandy,Borewell,Winter,27061,82.77
Cod,4.7,Loamy,River,Summer,22315,93.86
Tilapia,2.81,Loamy,Borewell,Monsoon,27115,84.35
Pangasius,0.58,Clay,River,Winter,40006,83.36
Banana Prawn,0.84,Clay,River,Monsoon,15163,81.51
Dungeness Crab,0.78,Sandy,River,Monsoon,8769,80.83
Grouper,3.77,Clay,Canal,Winter,39826,94.65
Snapper,3.76,Sandy,Borewell,Monsoon,40653,89.64
Dungeness Crab,2.39,Clay,Borewell,Monsoon,6150,92.02
Black Tiger Shrimp,3.93,Sandy,River,Winter,3810,74.31
Rohu,3.94,Loamy,River,Summer,9845,79.4
Vannamei,3.21,Clay,Canal,Summer,48411,70.09
King Crab,1.43,Loamy,Canal,Summer,25890,70.12
Freshwater Prawn,2.44,Loamy,River,Summer,40826,89.02
King Crab,2.74,Clay,River,Monsoon,20885,91.62
Cod,2.14,Loamy,Canal,Winter,21413,94.64
King Crab,4.7,Clay,River,Monsoon,45409,78.58
Black Tiger Shrimp,1.66,Clay,River,Summer,36981,72.6
Pangasius,1.86,Loamy,Canal,Winter,47994,76.09
Black Tiger Shrimp,3.47,Sandy,River,Summer,36487,82.86
Snapper,3.55,Loamy,Canal,Monsoon,24415,87.23
Whiteleg Shrimp,2.1,Sandy,Borewell,Winter,49628,82.2
Rohu,3.08,Loamy,River,Winter,38225,84.16
Tuna,4.14,Loamy,Canal,Summer,41701,85.89
King Prawn,1.74,Clay,River,Winter,44336,89.52
Milkfish,2.29,Sandy,Canal,Monsoon,40786,88.01
Soft Shell Crab,4.02,Clay,Canal,Monsoon,9350,91.89
Carp,4.82,Loamy,River,Winter,9324,93.09
Banana Prawn,2.16,Loamy,Borewell,Winter,38860,91.87
Pangasius,1.32,Loamy,Canal,Summer,4752,82.72
Salmon,4.3,Clay,Borewell,Summer,37943,94.96
Seabass,4.88,Sandy,River,Summer,12663,79.0
Trout,3.89,Loamy,Borewell,Summer,6486,79.17
Carp,2.22,Clay,Canal,Winter,25248,88.65
Carp,1.03,Sandy,River,Winter,34405,74.1
King Crab,1.85,Sandy,River,Monsoon,29960,90.68
Pangasius,1.89,Sandy,River,Summer,30616,77.35
Carp,2.94,Sandy,Borewell,Monsoon,10463,94.68
Banana Prawn,1.02,Sandy,River,Summer,42538,91.33
Tiger Prawn,2.22,Clay,River,Summer,7803,71.97
Tilapia,1.7,Loamy,Borewell,Monsoon,16570,92.93
Dungeness Crab,2.05,Sandy,Canal,Monsoon,47114,79.7
Milkfish,3.11,Sandy,River,Monsoon,26960,89.66
Freshwater Prawn,4.93,Clay,Canal,Monsoon,24054,78.15
Tuna,0.58,Sandy,Canal,Monsoon,38387,74.4
