Water_Temp,pH,DO,Salinity,Turbidity,Disease_Risk,Disease_Type,Suggested_Medicine
30.8,8.11,6.89,11.63,37.4,0,None,None
29.7,6.78,4.31,11.92,43.37,1,White Spot,Lime Treatment
29.5,6.81,6.3,20.59,48.84,1,White Spot,Lime Treatment
30.6,6.86,4.33,22.21,42.39,0,None,None
24.2,6.66,5.7,22.83,45.06,0,None,None
29.8,7.28,5.76,9.61,51.51,1,White Spot,Lime Treatment
28.3,7.54,5.94,23.61,33.25,1,White Spot,Lime Treatment
25.7,7.65,6.99,12.71,38.33,0,None,None
28.4,8.47,5.82,7.38,24.61,0,None,None
25.0,7.05,5.15,19.63,40.38,0,None,None
28.3,8.1,5.83,9.85,50.54,1,White Spot,Lime Treatment
30.3,8.08,4.32,24.54,25.07,0,None,None
31.8,7.26,6.6,24.22,37.75,1,White Spot,Lime Treatment
28.5,7.49,6.9,22.95,11.2,0,None,None
26.0,7.97,4.51,6.17,45.4,1,White Spot,Lime Treatment
24.0,7.13,5.44,24.11,34.43,0,None,None
24.1,7.45,4.09,8.41,15.0,0,None,None
27.9,6.52,5.06,15.69,53.02,0,None,None
30.2,8.09,5.15,13.12,44.17,1,White Spot,Lime Treatment
30.1,7.16,5.75,15.35,58.92,0,None,None
26.1,8.25,4.22,15.21,52.01,1,White Spot,Lime Treatment
24.5,7.54,4.82,22.46,45.75,1,White Spot,Lime Treatment
30.8,7.35,5.89,21.99,27.59,0,None,None
26.4,7.29,5.31,11.48,27.73,0,None,None
29.7,8.32,4.49,19.81,11.15,0,None,None
31.3,7.59,6.49,10.34,50.28,0,None,None
29.1,7.43,5.88,22.14,48.82,0,None,None
26.6,7.04,4.8,8.87,23.29,1,White Spot,Lime Treatment
31.1,8.42,5.66,7.9,12.46,1,White Spot,Lime Treatment
24.5,8.33,5.35,8.9,54.56,1,White Spot,Lime Treatment
25.6,7.85,6.62,23.32,54.77,1,White Spot,Lime Treatment
24.4,7.55,4.32,13.89,30.85,1,White Spot,Lime Treatment
26.6,7.19,6.43,5.82,48.33,0,None,None
30.3,6.6,6.11,16.38,50.27,0,None,None
28.5,6.75,6.74,8.67,22.11,0,None,None
26.2,8.28,5.66,20.96,23.57,0,None,None
30.3,6.57,5.25,20.68,32.86,0,None,None
26.2,7.47,4.19,21.25,30.55,1,White Spot,Lime Treatment
26.5,6.62,5.67,15.81,24.53,1,White Spot,Lime Treatment
27.1,7.84,6.55,17.32,50.84,1,White Spot,Lime Treatment
27.8,6.91,4.12,14.99,27.58,1,White Spot,Lime Treatment
31.4,6.69,6.84,24.73,39.92,0,None,None
31.2,6.77,4.65,22.35,29.65,0,None,None
30.1,7.84,4.45,21.92,24.69,0,None,None
26.2,6.9,6.51,12.79,53.37,1,White Spot,Lime Treatment
24.8,7.0,6.8,18.94,32.72,0,None,None
26.3,7.71,6.91,24.82,53.19,0,None,None
24.6,7.97,5.87,24.47,31.07,1,White Spot,Lime Treatment
27.7,7.67,4.27,12.28,39.42,0,None,None
28.6,7.44,5.41,9.02,24.71,0,None,None
27.9,6.86,6.7,17.49,30.01,1,White Spot,Lime Treatment
30.3,6.99,6.67,16.26,40.26,1,White Spot,Lime Treatment
30.6,7.94,4.02,11.09,43.84,0,None,None
25.7,7.11,6.93,24.98,30.05,1,White Spot,Lime Treatment
31.8,7.13,5.94,10.18,24.33,1,White Spot,Lime Treatment
28.5,6.9,4.42,8.31,53.31,0,None,None
28.7,7.64,5.7,8.79,11.1,0,None,None
24.3,7.84,4.13,9.64,58.15,1,White Spot,Lime Treatment
28.9,8.01,6.32,18.67,54.07,1,White Spot,Lime Treatment
29.9,6.97,5.31,23.42,11.41,0,None,None
26.6,8.1,4.19,21.3,57.02,0,None,None
26.3,8.4,5.96,20.44,48.53,0,None,None
27.6,6.6,5.33,16.49,39.58,0,None,None
29.7,8.09,6.48,14.25,27.59,1,White Spot,Lime Treatment
24.1,7.13,4.24,13.15,16.58,0,None,None
28.8,7.88,4.9,11.7,23.68,0,None,None
26.4,7.74,5.64,7.96,59.28,1,White Spot,Lime Treatment
25.7,7.99,6.92,24.97,44.52,0,None,None
30.9,7.48,4.49,7.98,20.14,1,White Spot,Lime Treatment
31.5,7.72,4.39,16.02,46.46,0,None,None
26.3,7.97,6.41,5.84,51.03,0,None,None
24.8,7.39,4.93,12.98,27.9,1,White Spot,Lime Treatment
30.8,8.27,5.46,9.51,33.13,1,White Spot,Lime Treatment
29.4,6.82,5.81,13.17,45.53,1,White Spot,Lime Treatment
24.8,8.41,4.41,12.39,15.97,1,White Spot,Lime Treatment
29.2,7.22,4.65,14.56,20.47,0,None,None
31.5,7.07,4.32,5.76,42.37,0,None,None
24.9,8.42,6.78,12.35,52.61,1,White Spot,Lime Treatment
26.4,7.37,4.04,16.43,29.47,0,None,None
24.6,8.24,4.19,18.0,48.67,1,White Spot,Lime Treatment
25.1,8.43,6.42,14.86,26.4,0,None,None
30.3,8.22,5.42,6.72,44.35,1,White Spot,Lime Treatment
27.9,6.59,6.33,10.43,31.82,0,None,None
31.4,8.29,4.53,16.11,56.57,0,None,None
30.3,7.32,4.53,6.67,41.11,0,None,None
30.6,8.21,5.84,11.7,42.09,1,White Spot,Lime Treatment
30.8,7.22,5.53,17.93,30.59,1,White Spot,Lime Treatment
27.2,7.9,6.07,9.39,49.62,0,None,None
26.2,8.09,5.8,19.12,44.02,1,White Spot,Lime Treatment
31.8,7.86,6.65,24.16,38.74,0,None,None
25.1,6.71,4.81,18.09,30.62,1,White Spot,Lime Treatment
26.8,7.07,6.89,23.14,21.22,0,None,None
26.8,8.25,6.19,19.8,28.87,0,None,None
24.2,7.11,4.68,15.02,24.2,0,None,None
29.1,8.42,5.65,10.84,15.03,1,White Spot,Lime Treatment
26.3,7.14,6.41,17.2,35.34,1,White Spot,Lime Treatment
26.4,7.12,4.82,14.5,41.16,1,White Spot,Lime Treatment
27.1,7.12,6.62,7.67,32.15,0,None,None
27.5,6.81,5.92,11.13,20.12,0,None,None
31.0,6.54,5.31,18.08,57.46,1,White Spot,Lime Treatment
30.5,6.63,5.26,18.74,30.9,1,White Spot,Lime Treatment
26.4,8.19,6.88,5.84,31.77,0,None,None
27.5,7.64,4.81,24.36,30.23,0,None,None
25.1,8.32,6.55,5.8,45.59,0,None,None
24.6,7.11,4.29,20.44,31.93,0,None,None
30.9,6.55,4.94,18.17,49.84,1,White Spot,Lime Treatment
25.0,6.92,6.6,11.06,12.21,0,None,None
28.4,7.17,4.53,18.08,42.03,1,White Spot,Lime Treatment
25.2,8.48,6.28,16.41,17.27,0,None,None
28.0,6.83,4.98,10.03,30.45,0,None,None
30.1,8.48,6.58,19.87,50.37,1,White Spot,Lime Treatment
30.9,7.67,4.34,19.74,57.49,0,None,None
31.0,8.0,4.7,11.11,44.47,1,White Spot,Lime Treatment
24.0,8.43,6.06,22.14,39.55,0,None,None
31.5,7.47,5.47,22.82,57.87,0,None,None
28.2,6.89,4.65,5.32,27.43,1,White Spot,Lime Treatment
25.5,6.76,6.36,11.59,14.33,0,None,None
28.2,6.81,5.94,17.08,28.63,1,White Spot,Lime Treatment
29.5,7.62,6.47,14.42,27.4,1,White Spot,Lime Treatment
28.7,7.36,4.23,23.67,25.12,1,White Spot,Lime Treatment
29.6,7.46,4.47,6.29,45.2,1,White Spot,Lime Treatment
29.2,7.98,6.26,22.55,41.93,0,None,None
24.8,7.46,6.67,24.1,16.63,1,White Spot,Lime Treatment
24.8,6.69,4.09,14.3,30.55,1,White Spot,Lime Treatment
25.4,7.97,6.97,19.94,34.78,1,White Spot,Lime Treatment
25.2,6.51,6.42,15.83,44.22,1,White Spot,Lime Treatment
24.4,8.04,5.14,14.65,22.3,0,None,None
24.3,6.71,6.48,8.62,26.74,0,None,None
26.8,6.78,5.53,13.99,26.27,1,White Spot,Lime Treatment
26.3,6.6,6.25,20.16,23.93,1,White Spot,Lime Treatment
31.3,8.36,4.36,24.91,17.67,1,White Spot,Lime Treatment
25.4,6.54,5.76,6.74,20.09,0,None,None
31.4,8.31,6.13,18.73,58.02,1,White Spot,Lime Treatment
28.4,7.13,5.73,24.74,56.5,1,White Spot,Lime Treatment
29.4,7.95,5.28,22.66,18.48,1,White Spot,Lime Treatment
29.2,6.55,4.15,20.41,39.98,0,None,None
27.8,8.23,5.21,17.16,40.32,1,White Spot,Lime Treatment
31.9,7.84,4.62,9.89,18.04,1,White Spot,Lime Treatment
28.6,7.29,5.52,6.63,32.32,0,None,None
27.9,7.2,4.94,14.88,53.95,0,None,None
31.1,7.7,4.15,24.54,45.64,0,None,None
27.5,6.95,6.67,20.78,20.33,1,White Spot,Lime Treatment
26.6,7.24,5.44,24.14,33.73,1,White Spot,Lime Treatment
30.9,6.58,4.46,16.44,32.41,1,White Spot,Lime Treatment
31.9,7.95,6.83,9.37,15.89,1,White Spot,Lime Treatment
29.3,7.76,5.73,15.56,28.08,1,White Spot,Lime Treatment
28.6,6.86,4.76,21.01,12.77,0,None,None
31.1,6.6,4.96,22.06,47.16,1,White Spot,Lime Treatment
26.1,7.64,6.42,24.22,26.56,1,White Spot,Lime Treatment
29.4,8.14,6.77,9.81,31.75,0,None,None
24.3,7.76,4.16,23.19,21.12,1,White Spot,Lime Treatment
25.6,6.93,6.01,20.12,26.09,0,None,None
26.8,6.54,6.1,11.29,59.08,1,White Spot,Lime Treatment
25.1,8.28,4.66,15.09,25.83,0,None,None
28.5,7.03,6.68,5.55,46.1,1,White Spot,Lime Treatment
27.5,7.23,4.81,21.39,27.78,0,None,None
30.9,8.11,5.82,15.8,52.71,1,White Spot,Lime Treatment
30.2,7.16,6.79,22.95,18.21,1,White Spot,Lime Treatment
25.5,7.48,4.67,8.57,17.1,0,None,None
25.5,7.69,4.7,11.18,54.35,0,None,None
28.0,7.95,6.04,12.79,46.93,1,White Spot,Lime Treatment
29.5,7.27,6.62,6.95,21.61,1,White Spot,Lime Treatment
25.9,8.39,4.08,15.84,17.98,0,None,None
24.7,7.12,6.07,5.27,31.25,0,None,None
24.3,7.81,4.39,15.62,14.11,1,White Spot,Lime Treatment
27.6,8.31,4.34,17.62,34.67,1,White Spot,Lime Treatment
24.6,8.02,5.11,9.28,11.77,0,None,None
29.5,7.94,4.23,7.4,39.96,0,None,None
29.5,7.31,6.44,11.63,58.67,1,White Spot,Lime Treatment
28.7,8.45,5.93,22.53,43.33,1,White Spot,Lime Treatment
25.3,7.48,4.96,8.15,24.2,1,White Spot,Lime Treatment
27.3,6.59,5.81,9.87,35.92,1,White Spot,Lime Treatment
31.8,7.3,6.26,21.89,41.65,0,None,None
29.0,7.52,4.17,21.79,21.46,1,White Spot,Lime Treatment
28.8,7.39,6.18,10.42,40.81,0,None,None
30.7,7.3,4.31,22.2,41.92,1,White Spot,Lime Treatment
29.4,6.94,5.19,16.42,31.16,1,White Spot,Lime Treatment
24.6,8.05,5.09,24.94,23.79,1,White Spot,Lime Treatment
25.9,6.58,4.25,10.14,48.07,0,None,None
27.1,7.86,5.23,5.43,10.88,0,None,None
31.9,7.79,6.14,5.2,55.43,1,White Spot,Lime Treatment
26.4,7.76,5.28,8.32,42.15,1,White Spot,Lime Treatment
26.9,6.59,5.54,7.54,16.49,1,White Spot,Lime Treatment
29.7,7.55,5.64,20.43,21.38,0,None,None
24.3,8.38,4.4,7.85,40.52,1,White Spot,Lime Treatment
24.2,7.77,5.43,16.31,33.0,1,White Spot,Lime Treatment
25.1,8.3,6.23,21.25,28.49,1,White Spot,Lime Treatment
29.1,7.52,5.25,22.03,43.22,0,None,None
24.6,6.84,4.42,23.77,31.69,1,White Spot,Lime Treatment
24.4,7.5,6.55,18.06,15.2,0,None,None
29.0,7.87,5.74,23.03,30.92,0,None,None
25.4,7.02,5.23,10.46,31.26,1,White Spot,Lime Treatment
31.6,7.46,4.64,18.6,46.12,1,White Spot,Lime Treatment
29.7,7.14,4.51,16.16,57.66,1,White Spot,Lime Treatment
30.8,7.34,6.31,14.77,22.88,0,None,None
26.5,6.62,4.4,12.71,25.31,1,White Spot,Lime Treatment
24.2,7.89,6.24,9.28,35.59,1,White Spot,Lime Treatment
29.6,6.91,5.81,5.93,33.22,0,None,None
24.8,7.61,4.3,21.61,56.11,1,White Spot,Lime Treatment
25.9,7.51,6.66,11.79,38.74,0,None,None
29.5,6.77,4.85,22.12,52.07,1,White Spot,Lime Treatment
27.6,7.95,4.04,12.37,14.62,1,White Spot,Lime Treatment
26.6,7.8,4.1,6.84,52.91,0,None,None
28.2,7.83,6.39,14.27,24.76,0,None,None
30.1,6.74,4.58,15.18,55.86,0,None,None
29.2,7.48,5.04,13.41,14.95,0,None,None
29.9,7.48,6.34,10.33,59.3,1,White Spot,Lime Treatment
30.8,8.2,4.1,11.75,33.58,1,White Spot,Lime Treatment
27.1,7.99,5.39,8.54,21.31,1,White Spot,Lime Treatment
27.6,7.1,4.87,6.3,45.22,1,White Spot,Lime Treatment
31.2,7.94,6.45,8.19,37.26,0,None,None
31.4,7.03,4.48,7.21,33.4,0,None,None
30.8,7.65,5.96,18.67,51.84,1,White Spot,Lime Treatment
24.7,7.03,4.43,21.52,38.1,0,None,None
28.4,7.1,5.32,15.6,21.09,1,White Spot,Lime Treatment
24.1,7.25,6.53,10.04,53.81,0,None,None
26.6,6.8,6.66,7.34,20.62,0,None,None
31.7,7.41,4.63,7.47,56.82,1,White Spot,Lime Treatment
29.6,7.52,5.63,17.08,24.54,1,White Spot,Lime Treatment
25.2,8.11,4.46,6.87,54.15,0,None,None
28.3,6.73,4.06,5.69,28.01,1,White Spot,Lime Treatment
30.5,6.81,6.75,19.7,51.7,1,White Spot,Lime Treatment
28.6,7.43,5.31,17.55,20.19,1,White Spot,Lime Treatment
24.6,7.57,4.7,23.61,11.65,1,White Spot,Lime Treatment
29.8,6.93,4.4,11.81,24.82,0,None,None
28.0,6.55,4.33,21.6,37.33,1,White Spot,Lime Treatment
31.2,8.0,6.38,13.87,15.45,0,None,None
27.2,6.66,4.77,24.49,20.68,0,None,None
29.8,8.03,4.83,6.35,34.27,0,None,None
26.6,7.52,6.47,12.04,45.97,1,White Spot,Lime Treatment
27.3,7.92,6.27,10.38,56.24,1,White Spot,Lime Treatment
31.3,8.23,6.62,15.16,23.38,0,None,None
28.7,7.47,4.78,24.45,27.7,1,White Spot,Lime Treatment
30.4,7.87,4.09,17.89,10.46,1,White Spot,Lime Treatment
25.4,7.14,4.24,20.86,51.33,0,None,None
25.0,8.28,6.85,11.75,44.37,0,None,None
26.5,6.91,6.28,20.64,40.14,0,None,None
28.5,7.92,5.87,19.75,15.0,1,White Spot,Lime Treatment
28.9,7.27,5.04,6.51,51.75,0,None,None
27.7,7.73,5.61,21.31,22.04,1,White Spot,Lime Treatment
30.0,8.05,6.25,7.48,35.3,1,White Spot,Lime Treatment
27.3,6.91,4.16,12.2,40.32,1,White Spot,Lime Treatment
29.9,7.8,5.08,8.31,12.56,1,White Spot,Lime Treatment
30.6,7.02,4.14,14.08,46.52,1,White Spot,Lime Treatment
29.8,8.11,5.66,12.17,20.22,1,White Spot,Lime Treatment
30.0,7.46,4.83,10.91,51.15,1,White Spot,Lime Treatment
25.3,7.07,6.05,9.09,30.11,0,None,None
31.4,6.94,4.02,22.46,20.64,1,White Spot,Lime Treatment
31.3,7.32,6.36,9.83,44.3,0,None,None
24.1,7.52,4.44,22.95,35.27,1,White Spot,Lime Treatment
25.6,7.18,4.98,13.7,20.29,0,None,None
28.2,7.74,4.89,19.5,19.36,1,White Spot,Lime Treatment
27.6,6.65,4.11,7.73,42.51,0,None,None
25.5,6.59,6.42,9.52,50.38,0,None,None
28.9,7.96,5.83,19.1,27.13,0,None,None
27.3,7.11,4.63,19.32,19.73,1,White Spot,Lime Treatment
28.5,6.6,6.75,9.0,52.85,0,None,None
25.0,7.46,4.72,16.73,21.55,1,White Spot,Lime Treatment
24.7,8.49,6.62,15.25,49.41,0,None,None
26.0,7.12,5.34,19.78,29.91,0,None,None
30.8,8.09,6.42,23.62,35.56,1,White Spot,Lime Treatment
31.4,7.08,4.27,19.56,50.15,0,None,None
25.2,6.92,5.52,24.5,57.69,0,None,None
29.8,7.33,6.78,23.7,35.82,0,None,None
31.3,8.37,6.62,24.42,44.59,0,None,None
27.7,6.8,6.67,7.94,20.43,1,White Spot,Lime Treatment
30.1,8.45,6.2,23.68,26.11,0,None,None
25.0,7.39,4.72,22.38,34.56,1,White Spot,Lime Treatment
26.1,7.99,6.16,20.21,23.14,0,None,None
28.7,8.09,4.26,16.07,57.25,0,None,None
31.4,7.23,5.74,5.15,52.41,1,White Spot,Lime Treatment
29.2,7.18,4.3,22.15,41.39,1,White Spot,Lime Treatment
30.1,7.17,6.59,9.07,35.74,0,None,None
30.1,6.9,4.09,5.96,31.1,0,None,None
28.7,8.43,5.32,24.46,45.76,0,None,None
27.0,7.75,4.86,24.15,59.5,1,White Spot,Lime Treatment
30.9,7.17,6.31,22.01,36.58,0,None,None
29.2,6.61,5.28,8.88,34.29,1,White Spot,Lime Treatment
27.4,7.74,4.06,9.14,45.11,0,None,None
25.3,8.37,6.6,6.89,59.72,0,None,None
24.0,6.5,6.05,10.47,31.34,0,None,None
28.6,6.74,5.32,18.64,45.36,0,None,None
25.8,6.97,4.1,10.12,48.26,1,White Spot,Lime Treatment
29.9,8.11,5.09,17.09,48.22,0,None,None
30.4,6.56,5.54,20.43,21.18,1,White Spot,Lime Treatment
30.9,6.96,5.26,7.69,55.15,1,White Spot,Lime Treatment
30.0,6.66,5.74,10.57,25.51,0,None,None
31.7,7.15,4.7,5.09,16.41,0,None,None
27.7,7.5,4.2,5.92,30.73,1,White Spot,Lime Treatment
27.3,6.62,5.54,8.36,27.73,0,None,None
27.7,7.9,6.49,6.01,31.16,1,White Spot,Lime Treatment
29.8,7.27,4.9,21.84,43.21,0,None,None
25.7,8.16,6.41,11.16,29.56,1,White Spot,Lime Treatment
27.1,7.23,4.12,16.27,18.17,1,White Spot,Lime Treatment
31.5,7.67,5.33,21.87,27.2,0,None,None
28.9,8.34,4.97,24.04,14.93,1,White Spot,Lime Treatment
25.2,7.46,6.29,19.23,55.94,1,White Spot,Lime Treatment
24.9,6.88,6.59,11.51,48.92,1,White Spot,Lime Treatment
25.8,8.49,6.22,24.43,28.63,1,White Spot,Lime Treatment
28.4,7.63,6.85,7.97,50.66,1,White Spot,Lime Treatment
25.0,6.71,6.78,24.05,28.79,1,White Spot,Lime Treatment
31.6,8.11,5.11,15.48,50.26,0,None,None
26.3,8.08,6.09,15.74,18.01,1,White Spot,Lime Treatment
25.6,6.67,5.71,24.28,40.05,0,None,None
29.8,6.95,4.54,8.06,21.5,1,White Spot,Lime Treatment
31.1,7.71,5.31,7.13,59.4,0,None,None
27.4,8.16,4.48,5.25,26.43,1,White Spot,Lime Treatment
26.8,7.77,5.04,6.65,30.25,1,White Spot,Lime Treatment
28.9,7.35,6.82,15.7,42.65,0,None,None
24.4,6.75,5.54,21.02,53.75,1,White Spot,Lime Treatment
28.4,7.91,4.2,19.96,45.57,0,None,None
28.4,7.85,6.43,13.68,14.69,1,White Spot,Lime Treatment
28.4,7.49,5.65,13.77,17.65,1,White Spot,Lime Treatment
29.8,7.89,6.27,12.36,25.65,0,None,None
24.2,7.0,6.53,22.63,30.21,1,White Spot,Lime Treatment
31.2,6.72,4.73,24.53,58.73,1,White Spot,Lime Treatment
27.1,7.7,4.04,20.76,15.04,1,White Spot,Lime Treatment
24.1,7.73,6.22,19.26,49.57,0,None,None
26.0,7.28,4.19,6.13,58.96,0,None,None
25.3,7.54,4.08,17.83,12.77,0,None,None
29.3,6.52,6.63,8.3,14.69,1,White Spot,Lime Treatment
26.5,8.34,6.85,8.21,15.89,0,None,None
28.4,8.15,4.62,8.21,45.41,0,None,None
24.8,8.48,6.58,22.01,19.44,0,None,None
27.3,7.53,5.74,6.5,41.78,0,None,None
29.5,7.26,6.93,7.57,47.53,1,White Spot,Lime Treatment
25.1,8.31,6.19,9.06,12.47,0,None,None
28.1,8.41,6.46,14.25,33.24,0,None,None
31.9,8.33,6.77,21.6,59.0,0,None,None
27.0,6.59,4.27,16.63,36.08,0,None,None
25.0,7.46,4.1,19.53,45.81,1,White Spot,Lime Treatment
32.0,7.08,4.49,17.75,13.69,0,None,None
26.7,7.45,5.86,12.79,19.8,0,None,None
28.4,6.65,4.76,12.04,40.45,0,None,None
24.4,8.39,4.08,9.49,21.62,1,White Spot,Lime Treatment
