Species,Pond_Area,Feed_Used,Culture_Days,Expected_Yield
Tuna,1.5,1885,120,4.35
Banana Prawn,2.0,1957,98,4.51
Seabass,1.9,4014,132,6.72
Tuna,2.7,1634,163,8.65
Dungeness Crab,2.7,1964,109,8.77
Snow Crab,3.7,4518,153,8.8
King Crab,1.2,4238,178,2.62
King Crab,2.8,2084,115,9.09
Tuna,2.5,4086,106,3.68
Dungeness Crab,2.4,3664,137,9.18
Mud Crab,1.2,2319,140,7.82
Blue Swimmer Crab,2.9,1435,160,4.18
King Prawn,3.6,784,154,4.42
Blue Swimmer Crab,4.1,704,122,3.24
Salmon,3.9,3059,138,6.67
Carp,2.0,1781,111,7.56
Freshwater Prawn,3.6,2997,105,4.46
Snapper,2.7,2472,157,9.64
Whiteleg Shrimp,4.0,2941,177,7.86
Pangasius,3.0,4000,138,7.16
Tuna,1.4,3406,103,5.48
Soft Shell Crab,2.4,2853,160,9.43
Blue Swimmer Crab,3.1,3986,169,2.33
Soft Shell Crab,3.1,4052,158,9.95
Tiger Prawn,0.7,4841,111,3.89
Rohu,4.6,1000,155,9.15
Salmon,3.9,2140,163,9.42
King Prawn,5.0,4234,174,8.25
Dungeness Crab,2.2,616,175,3.89
Seabass,2.8,4996,91,8.24
Mud Crab,4.1,4228,166,4.57
Vannamei,4.3,881,104,2.68
Tiger Prawn,5.0,2889,103,8.63
Tuna,2.1,2958,112,6.13
Soft Shell Crab,4.1,3867,95,7.85
Salmon,3.1,564,157,3.41
Banana Prawn,4.8,1535,162,9.83
Milkfish,1.0,4229,116,4.86
Tiger Prawn,3.6,548,100,10.0
Snow Crab,2.2,833,157,9.09
Tiger Prawn,4.4,4827,124,9.7
Milkfish,2.2,1344,149,5.69
Tuna,0.6,2250,112,6.24
Rohu,1.8,4959,142,6.85
Black Tiger Shrimp,2.1,3565,125,8.47
Grouper,4.8,1080,130,6.65
Milkfish,3.8,2868,143,4.0
Snow Crab,2.6,2774,138,2.23
Rohu,1.2,2183,140,6.69
Seabass,5.0,2754,112,5.61
Salmon,3.0,2096,148,6.9
Grouper,1.9,3377,119,7.56
Dungeness Crab,2.9,2883,145,6.08
Salmon,4.1,2145,131,8.19
Banana Prawn,2.1,1452,137,2.27
Blue Swimmer Crab,3.7,713,149,4.38
Black Tiger Shrimp,2.7,813,142,7.5
Vannamei,1.4,840,170,4.76
Trout,3.9,1834,107,9.3
Trout,1.6,1080,94,7.38
Seabass,2.5,4659,157,5.23
Milkfish,2.7,1666,145,5.6
Barramundi,1.6,2779,102,9.86
Carp,2.5,1510,160,4.8
Rohu,4.3,2783,180,6.39
Vannamei,0.8,869,174,4.21
Catfish,0.8,1291,157,6.16
Whiteleg Shrimp,3.6,4337,157,7.69
Grouper,4.9,2886,164,8.34
Cod,0.6,3668,130,7.43
Mud Crab,1.9,3129,93,5.93
Cod,2.0,4150,170,4.23
Milkfish,1.7,3425,92,8.37
Salmon,3.2,3630,157,3.59
King Crab,3.3,697,124,6.21
Mud Crab,4.9,2578,157,6.73
Tuna,2.4,4609,128,2.95
Vannamei,4.9,4402,166,9.27
Whiteleg Shrimp,2.3,2690,114,2.45
Soft Shell Crab,2.0,3380,164,4.2
Snow Crab,0.7,959,126,2.87
Barramundi,1.2,3580,160,4.97
Freshwater Prawn,4.4,3691,151,3.83
Tuna,2.9,1076,125,3.64
Catfish,0.6,674,153,7.65
Rohu,2.1,4714,154,9.61
Carp,2.1,4980,144,7.17
Vannamei,5.0,904,120,8.28
Barramundi,2.5,860,112,9.03
King Crab,4.8,1453,165,5.74
Carp,0.7,2202,121,5.28
King Crab,4.9,852,170,8.03
Cod,2.8,1242,124,2.41
King Prawn,1.9,1243,178,9.23
Grouper,2.7,2034,141,2.34
Rohu,4.1,4056,149,3.04
Salmon,1.5,1840,139,8.93
Black Tiger Shrimp,1.1,3231,177,2.18
Cod,4.8,1333,153,2.9
King Prawn,4.0,4297,109,3.37
Snapper,1.5,4024,178,6.63
Mud Crab,1.2,4521,91,5.2
Mud Crab,1.2,1982,167,3.5
Barramundi,4.4,4622,140,9.76
Trout,0.9,1244,147,2.68
Milkfish,2.7,3334,165,5.85
Black Tiger Shrimp,2.7,2862,107,3.01
Tilapia,2.1,2979,137,8.1
Pangasius,0.9,3354,147,3.25
Catfish,0.8,2215,166,6.98
Whiteleg Shrimp,4.3,4316,104,5.3
Cod,4.7,1476,164,6.05
Carp,4.7,1493,135,7.52
Cod,0.9,1928,118,6.37
Catfish,0.7,521,135,5.43
Tiger Prawn,3.8,4212,132,3.6
Snow Crab,1.7,792,136,9.44
Salmon,1.1,4586,130,8.01
Blue Swimmer Crab,4.8,4393,153,6.44
Dungeness Crab,1.9,1722,168,4.74
Tilapia,3.8,672,173,2.07
Freshwater Prawn,4.7,3679,141,2.87
Banana Prawn,1.4,882,117,4.75
Banana Prawn,2.0,2552,115,9.18
Trout,1.1,1102,155,2.53
Vannamei,2.7,3999,104,2.34
Freshwater Prawn,4.0,4615,133,7.92
Black Tiger Shrimp,1.7,2012,151,4.93
Mud Crab,2.0,3350,145,9.63
Catfish,1.3,3257,133,9.84
Black Tiger Shrimp,4.1,919,176,7.95
Seabass,2.2,733,158,3.6
Milkfish,2.5,4911,105,8.34
Tuna,0.8,2929,154,7.92
Black Tiger Shrimp,4.6,557,153,2.5
Mud Crab,1.1,1402,148,2.67
Catfish,3.8,1151,103,3.68
Freshwater Prawn,3.2,2239,153,3.86
Tilapia,4.0,2471,178,9.99
Tilapia,4.4,2963,138,9.17
Trout,3.8,930,112,3.92
King Prawn,3.5,2208,136,5.93
Freshwater Prawn,1.3,859,146,3.67
Barramundi,2.8,4360,176,6.43
Vannamei,1.1,2330,95,5.3
Seabass,3.8,2613,140,5.34
Pangasius,1.4,4364,123,4.77
Black Tiger Shrimp,1.6,2241,109,6.17
Snow Crab,1.1,1883,113,6.95
Barramundi,4.4,4379,133,5.48
Salmon,0.6,2882,126,2.25
Barramundi,1.6,4009,172,6.38
Vannamei,4.4,4090,106,6.57
Tiger Prawn,3.6,620,102,7.02
Salmon,4.4,1004,176,6.43
Cod,2.4,1403,154,7.35
Grouper,4.4,3866,180,3.18
Cod,2.9,858,179,3.95
Trout,3.0,2481,172,9.6
Soft Shell Crab,4.7,3864,134,5.07
Tilapia,1.0,4065,150,4.17
Carp,1.7,3916,93,4.71
Soft Shell Crab,2.3,4514,98,9.78
Vannamei,2.3,2623,166,6.18
Catfish,1.7,2471,104,6.02
Black Tiger Shrimp,4.2,4226,136,4.28
Carp,1.9,2149,124,2.48
Carp,3.3,695,138,3.99
Milkfish,1.0,1615,157,2.13
King Prawn,4.0,4845,175,5.19
Snow Crab,0.5,930,145,9.33
Freshwater Prawn,1.1,2547,151,2.44
Trout,3.6,4095,140,2.82
Carp,1.9,3632,119,8.13
Milkfish,2.6,1575,163,6.9
Snow Crab,3.4,2570,120,8.34
Grouper,4.5,2985,153,9.75
Seabass,4.7,2001,154,2.01
Vannamei,3.6,1986,96,3.65
Vannamei,2.3,1232,144,8.06
Milkfish,3.4,3290,94,3.47
Tiger Prawn,2.8,1892,92,7.64
Cod,0.6,1919,102,6.3
Tiger Prawn,0.9,2613,109,3.25
Catfish,1.6,1775,98,6.28
Milkfish,3.4,884,97,5.79
Snapper,4.3,1345,172,4.37
Cod,1.6,2494,155,3.12
Blue Swimmer Crab,4.0,3788,137,7.75
Soft Shell Crab,3.4,3367,132,4.38
Vannamei,1.9,2929,135,8.29
Tiger Prawn,1.6,1244,113,9.78
King Prawn,3.9,3288,170,5.76
Vannamei,3.9,1099,116,3.32
Black Tiger Shrimp,4.0,3690,162,7.2
Banana Prawn,1.5,1706,159,4.92
Black Tiger Shrimp,3.6,2626,179,7.27
Cod,2.2,2956,98,3.0
Pangasius,4.6,3627,173,8.73
Freshwater Prawn,0.7,2798,173,6.99
Barramundi,1.5,2394,162,2.97
Mud Crab,1.5,3343,161,6.18
Banana Prawn,3.4,3632,160,3.33
Mud Crab,1.3,1195,118,3.32
Banana Prawn,3.1,3070,161,5.84
Barramundi,2.6,3344,148,5.65
Banana Prawn,0.9,4078,93,5.09
Barramundi,3.5,783,93,4.61
Snapper,3.3,2796,154,7.75
Blue Swimmer Crab,2.3,2981,101,5.3
King Crab,3.3,819,138,3.76
Blue Swimmer Crab,2.8,3237,158,3.91
Blue Swimmer Crab,1.9,860,97,4.89
Seabass,1.8,4857,104,2.57
Black Tiger Shrimp,4.1,2844,126,7.15
King Prawn,2.1,2824,154,8.11
Snapper,2.6,3364,153,9.78
Banana Prawn,0.7,3399,100,8.59
Banana Prawn,2.3,4976,91,4.63
Carp,1.8,3729,106,9.56
Dungeness Crab,0.9,2073,106,3.27
Trout,3.7,3319,111,8.01
Seabass,2.1,3489,94,7.62
Milkfish,1.6,4266,133,9.66
Seabass,3.9,3738,93,4.71
Snapper,2.1,3062,161,6.61
Blue Swimmer Crab,4.3,3322,166,2.88
Trout,2.1,4328,157,4.32
Black Tiger Shrimp,4.8,3127,177,5.38
Snapper,2.4,848,103,3.66
Soft Shell Crab,1.9,4913,101,6.26
Mud Crab,3.1,2787,124,8.63
Dungeness Crab,0.6,2638,105,2.36
Trout,1.7,4957,101,8.54
Catfish,4.4,2182,122,7.4
Rohu,4.1,1559,176,2.52
Catfish,4.2,4899,151,7.44
Vannamei,1.3,4725,125,6.11
Snapper,3.3,3443,179,4.71
Barramundi,2.6,3072,161,2.24
Black Tiger Shrimp,1.9,2971,169,5.77
Whiteleg Shrimp,2.8,2428,102,3.77
Catfish,5.0,1009,180,9.25
Trout,2.5,3174,114,9.59
Cod,3.6,559,117,7.02
Tiger Prawn,3.4,2244,157,5.16
Freshwater Prawn,1.7,760,135,8.34
Milkfish,4.0,1873,155,3.27
Dungeness Crab,3.1,4076,92,3.24
Soft Shell Crab,2.4,2692,124,3.57
Carp,2.9,3918,177,2.17
Milkfish,2.7,2068,167,3.95
Freshwater Prawn,3.7,3535,179,3.6
Carp,3.4,2416,137,7.18
King Prawn,2.4,2372,106,8.42
Grouper,4.2,511,131,8.28
Catfish,3.6,2893,147,2.4
Vannamei,2.3,3902,165,8.06
Trout,4.9,1896,143,9.12
Trout,2.0,959,95,5.55
Milkfish,3.2,3215,136,8.91
Dungeness Crab,4.7,2739,143,4.11
Freshwater Prawn,0.8,2642,141,2.92
Grouper,1.7,2150,159,7.12
Pangasius,3.5,2695,104,2.94
Banana Prawn,3.0,700,133,6.19
Banana Prawn,1.9,4953,116,5.93
Dungeness Crab,3.2,931,108,7.2
Vannamei,3.4,4768,140,8.78
Black Tiger Shrimp,2.1,1026,164,3.64
Mud Crab,4.6,2173,113,3.13
Soft Shell Crab,4.0,4423,170,8.5
Pangasius,3.1,2702,151,3.77
Catfish,2.4,3404,123,7.61
Pangasius,0.6,735,173,4.13
King Crab,3.7,695,176,3.37
Snapper,1.3,3214,167,3.84
Dungeness Crab,4.0,2918,99,4.25
Snapper,3.6,3447,124,2.79
Barramundi,2.0,4352,155,7.64
Tiger Prawn,0.9,2284,157,9.82
Blue Swimmer Crab,4.3,3557,146,8.28
Tiger Prawn,5.0,3345,106,6.25
Salmon,1.1,2710,180,5.62
Milkfish,2.6,1169,125,4.44
Barramundi,3.2,2908,157,4.96
Banana Prawn,2.8,2642,171,9.88
Trout,4.4,4579,124,5.04
Milkfish,1.2,2804,173,2.47
Milkfish,4.0,2636,133,4.77
Tilapia,3.3,3918,153,9.62
Soft Shell Crab,0.7,622,133,8.35
Rohu,4.1,4055,140,3.97
Tilapia,3.8,1012,123,4.71
Mud Crab,2.4,1137,120,7.43
Soft Shell Crab,1.4,2613,104,5.82
King Crab,2.4,2034,139,2.83
Banana Prawn,1.6,2406,168,3.6
Soft Shell Crab,1.2,2298,122,5.78
Seabass,1.7,2055,139,7.37
Black Tiger Shrimp,1.1,4331,91,6.31
Whiteleg Shrimp,0.8,931,169,3.64
Freshwater Prawn,4.2,982,139,2.49
Pangasius,4.8,3182,111,3.43
Catfish,4.2,1528,101,3.2
Tiger Prawn,4.2,3269,146,6.79
Snow Crab,2.7,2701,93,5.42
Tilapia,4.4,4938,157,2.09
Seabass,4.4,2941,134,2.17
Banana Prawn,4.4,4534,176,6.28
Tilapia,0.7,4988,140,5.38
Salmon,4.8,3795,101,8.51
Vannamei,3.5,3720,155,2.4
Rohu,3.3,3830,104,7.18
Grouper,4.2,3032,147,7.01
Snow Crab,0.8,3822,114,6.88
Barramundi,3.3,1166,119,7.77
Mud Crab,1.3,2167,130,7.13
Mud Crab,3.9,1402,146,8.19
Tilapia,2.1,1713,130,3.8
Snapper,3.8,2967,106,3.03
Rohu,0.6,965,151,9.46
Freshwater Prawn,4.4,2039,155,6.19
Catfish,4.6,2142,173,9.97
Banana Prawn,2.6,1250,90,3.0
Snapper,0.8,4873,95,9.57
Blue Swimmer Crab,2.2,4070,176,7.01
Soft Shell Crab,1.5,4135,99,4.99
Freshwater Prawn,3.4,954,150,2.67
Pangasius,4.9,3540,104,9.4
King Prawn,4.5,3110,136,9.9
Cod,2.5,1380,164,4.6
Dungeness Crab,4.2,4670,163,8.09
Dungeness Crab,4.8,3517,100,4.21
Rohu,4.3,1153,161,7.11
Black Tiger Shrimp,4.5,3081,139,6.18
Barramundi,2.9,779,132,7.09
Tiger Prawn,3.7,4161,122,7.18
Barramundi,1.3,4497,141,9.62
Mud Crab,2.4,3584,124,4.09
Soft Shell Crab,1.8,4328,100,5.48
Milkfish,3.5,1996,159,8.02
Snow Crab,2.8,3204,178,9.37
Trout,3.8,3781,146,7.78
Trout,0.9,4233,148,2.88
Mud Crab,3.9,1609,113,5.1
Mud Crab,0.6,3612,148,6.92
Snow Crab,4.0,1100,141,6.77
Seabass,1.4,4108,158,5.62
Snow Crab,0.8,2734,98,8.1
Tilapia,5.0,1701,108,9.9
Whiteleg Shrimp,4.4,1287,119,5.41
Seabass,3.5,1454,105,3.29
Trout,0.6,4095,121,3.65
Pangasius,2.9,1380,174,3.33
Milkfish,1.8,607,137,3.76
Catfish,3.2,3925,162,2.73
King Prawn,1.4,792,168,8.12
Blue Swimmer Crab,3.3,1435,124,2.56
Banana Prawn,2.6,3969,113,8.01
Black Tiger Shrimp,3.1,2880,165,7.92
Mud Crab,1.4,4693,136,6.45
Rohu,2.2,4080,157,5.98
Catfish,3.5,1334,165,6.36
King Crab,1.3,3361,117,5.2
Catfish,4.3,1059,103,3.42
Whiteleg Shrimp,3.0,4727,119,4.2
Salmon,0.9,952,105,4.34
King Crab,3.8,3983,122,3.82
Freshwater Prawn,3.6,1217,143,3.41
Snow Crab,2.8,1487,145,2.55
Milkfish,3.1,3935,125,2.86
Snow Crab,1.8,4698,114,5.97
Barramundi,3.3,2251,90,6.99
Tilapia,0.7,2430,151,4.77
Trout,2.0,812,165,2.38
Soft Shell Crab,3.8,4187,125,5.88
Whiteleg Shrimp,2.7,1488,95,5.85
Vannamei,3.6,1488,113,7.28
Grouper,4.5,1538,126,2.15
Rohu,2.0,644,165,8.86
King Crab,2.9,4859,106,6.44
Blue Swimmer Crab,3.5,1523,149,4.13
Vannamei,3.9,2017,120,3.11
Grouper,4.6,1857,135,9.26
Pangasius,4.7,4454,177,6.3
Blue Swimmer Crab,2.9,4683,140,2.13
Seabass,4.2,1207,136,6.51
Salmon,3.2,4234,102,7.56
Carp,0.7,3529,172,9.9
Tilapia,2.9,2681,152,9.78
Vannamei,3.4,3495,150,2.1
Tuna,4.8,2535,100,6.43
Soft Shell Crab,4.9,1832,106,4.12
Salmon,0.8,4422,174,7.13
Carp,3.9,3852,118,3.48
Soft Shell Crab,4.2,2341,143,6.37
Tilapia,3.3,4152,96,3.02
Rohu,1.7,1284,154,9.25
Seabass,2.9,2353,133,4.48
Vannamei,3.7,1944,124,3.4
Dungeness Crab,2.5,4381,114,9.75
Pangasius,3.3,1690,168,8.8
Rohu,0.7,2639,128,9.93
Tiger Prawn,4.4,4693,161,9.14
Seabass,4.9,1519,99,7.38
Whiteleg Shrimp,4.8,4769,91,8.53
Dungeness Crab,4.2,4894,121,3.22
Black Tiger Shrimp,4.9,4054,116,7.05
Whiteleg Shrimp,3.7,2924,123,5.89
Catfish,3.8,3656,140,3.51
Freshwater Prawn,0.6,2250,141,4.62
Tilapia,2.8,1938,168,5.4
Cod,2.8,3312,132,9.22
Grouper,1.0,4320,152,7.62
Whiteleg Shrimp,3.5,3582,118,8.66
Dungeness Crab,0.8,2159,131,4.34
Seabass,2.2,4563,102,6.91
Cod,1.8,966,167,2.85
Trout,4.9,698,126,8.21
Snapper,5.0,3166,94,9.11
Snow Crab,3.5,2800,168,9.05
Mud Crab,0.9,2916,132,3.3
King Crab,4.2,3286,179,7.3
Black Tiger Shrimp,2.4,887,110,4.87
Tuna,2.5,1110,160,8.46
Seabass,1.1,4511,153,4.34
Grouper,4.9,1691,168,2.33
King Crab,1.7,3256,134,5.59
Snow Crab,4.6,1180,146,5.91
King Crab,1.9,1233,92,3.85
Snow Crab,0.9,1182,150,8.96
Trout,1.3,4942,141,4.17
Freshwater Prawn,5.0,1014,148,6.42
Tiger Prawn,1.1,4385,160,8.76
Salmon,1.2,4575,92,5.16
Soft Shell Crab,2.0,2357,100,5.19
Freshwater Prawn,3.6,2929,125,9.77
Rohu,1.9,4867,115,8.2
King Crab,4.6,1034,150,3.81
Blue Swimmer Crab,0.7,3925,175,9.31
Tilapia,3.5,2529,113,7.89
Milkfish,2.2,706,113,2.29
Dungeness Crab,3.9,3396,126,2.69
Catfish,4.4,3333,168,4.58
Barramundi,2.6,3858,111,8.22
Snow Crab,1.8,552,143,3.12
King Prawn,4.4,3308,162,3.76
Tilapia,2.0,801,113,7.01
Cod,2.1,1127,100,7.6
King Prawn,2.7,1333,101,4.16
Seabass,4.7,3233,154,9.89
Tuna,1.5,4529,117,2.44
King Prawn,2.1,2463,146,8.87
Soft Shell Crab,3.0,2265,168,8.05
Salmon,4.6,3635,169,4.11
Blue Swimmer Crab,4.2,2067,165,2.21
Whiteleg Shrimp,3.6,2120,91,3.34
Freshwater Prawn,1.8,2199,146,4.91
Mud Crab,1.6,573,115,6.78
Vannamei,0.9,2883,180,7.07
Whiteleg Shrimp,3.2,2349,134,7.77
Trout,1.7,826,109,6.84
Dungeness Crab,2.2,4303,169,5.27
Vannamei,3.2,557,134,6.03
Seabass,3.4,4646,109,2.08
Soft Shell Crab,3.5,2701,149,2.39
Dungeness Crab,4.7,1330,146,7.89
King Prawn,3.2,4728,95,5.8
Tuna,3.3,2832,122,6.5
Whiteleg Shrimp,4.1,3739,139,6.16
Barramundi,3.2,3626,154,4.38
Soft Shell Crab,4.2,1319,156,6.9
Dungeness Crab,2.3,3587,125,6.48
Tiger Prawn,2.4,869,133,3.98
Catfish,2.9,3007,151,5.04
Cod,3.9,4894,145,7.28
Mud Crab,4.4,3503,171,4.48
Freshwater Prawn,2.1,1720,143,7.38
Salmon,2.2,3352,97,9.56
King Crab,4.2,2657,151,3.05
Vannamei,1.9,4836,106,8.36
Pangasius,3.7,3197,174,4.79
Dungeness Crab,1.1,3296,146,2.89
Tuna,2.7,2978,100,2.4
Seabass,2.9,3962,179,4.79
Milkfish,2.6,1785,152,6.93
Snow Crab,1.4,1835,93,9.21
Rohu,2.2,1565,141,3.55
King Crab,3.0,2717,165,8.75
Whiteleg Shrimp,3.5,4251,169,8.94
Seabass,3.0,1777,116,9.46
Tilapia,3.8,4515,124,5.51
Snapper,1.1,1101,107,5.57
Catfish,2.9,899,90,4.37
Blue Swimmer Crab,2.6,2489,97,4.53
Cod,4.9,2390,170,3.67
Carp,4.7,1733,128,5.1
Soft Shell Crab,1.1,2132,102,6.9
Whiteleg Shrimp,2.0,4735,129,5.98
Tilapia,1.2,3311,168,6.86
Tilapia,4.2,4926,98,6.0
Freshwater Prawn,1.5,1178,137,9.72
Banana Prawn,3.5,4705,154,8.44
Banana Prawn,2.5,3266,96,2.5
Trout,2.4,2420,102,6.63
King Prawn,3.4,3354,106,7.31
Black Tiger Shrimp,4.1,2136,138,9.51
Black Tiger Shrimp,3.1,3688,140,9.44
Grouper,1.4,1585,101,5.56
Freshwater Prawn,3.6,2376,124,3.45
Snapper,3.1,4694,91,5.14
Black Tiger Shrimp,0.7,1456,173,7.74
Blue Swimmer Crab,1.8,4994,101,2.53
Rohu,2.6,4152,138,8.23
Freshwater Prawn,0.5,2654,155,9.56
Snapper,2.5,3903,116,2.88
Salmon,2.8,1637,108,8.75
Tilapia,4.5,923,120,8.42
Seabass,4.6,2546,104,2.9
Catfish,4.0,4142,168,6.78
Catfish,4.4,2991,96,2.1
Seabass,4.5,4340,149,2.66
Catfish,0.5,783,99,2.54
Black Tiger Shrimp,0.9,4686,138,6.04
Pangasius,4.1,1522,126,6.97
Barramundi,0.8,959,116,7.4
Barramundi,4.1,2206,120,2.63
King Prawn,2.8,1043,101,3.24
King Crab,1.2,3687,167,8.5
Salmon,1.7,619,142,2.64
Vannamei,0.6,2653,123,8.81
Snow Crab,4.9,4384,176,3.05
King Prawn,2.8,2481,121,2.05
Barramundi,2.4,1919,103,6.92
Milkfish,4.2,4302,91,6.04
King Crab,1.2,3467,96,7.2
King Crab,5.0,4566,126,8.29
Tilapia,2.1,522,92,5.11
Trout,3.0,2450,138,6.51
Barramundi,3.6,3056,113,2.42
Tiger Prawn,0.7,4760,137,8.9
Grouper,2.9,4155,102,9.19
Whiteleg Shrimp,4.3,2288,154,9.22
King Prawn,2.1,1029,153,6.32
Salmon,3.8,2028,116,2.41
Vannamei,4.1,3932,134,5.23
Snow Crab,4.9,2090,125,6.53
Catfish,2.4,2139,153,2.79
Pangasius,4.3,2960,157,8.22
Blue Swimmer Crab,3.7,4549,90,9.79
Rohu,3.5,945,170,4.37
Rohu,1.2,1257,113,5.19
Milkfish,3.8,2121,123,7.75
King Crab,3.8,4120,137,8.55
Snow Crab,4.4,2975,164,5.51
Dungeness Crab,4.9,2467,138,5.28
Tuna,1.8,1833,100,4.49
King Prawn,1.0,4274,117,3.28
Cod,1.0,1579,120,9.23
Tiger Prawn,4.1,4215,172,3.41
Mud Crab,1.9,4211,108,4.56
Tilapia,5.0,901,161,4.33
Tiger Prawn,4.1,1805,132,2.92
Tuna,2.4,3390,93,2.42
Freshwater Prawn,3.8,3149,126,3.53
Grouper,3.7,2244,98,9.77
Rohu,2.6,3566,122,2.87
Rohu,0.9,803,141,3.8
Snapper,3.2,3190,135,6.31
Mud Crab,1.4,1733,112,5.75
Snow Crab,4.6,2869,146,4.39
Banana Prawn,4.2,1182,98,5.38
King Crab,3.9,2000,176,3.18
Black Tiger Shrimp,2.5,3961,133,3.1
Rohu,2.8,2182,162,9.44
Salmon,3.3,4750,114,4.98
Banana Prawn,2.3,1433,106,2.33
Pangasius,3.7,3785,166,5.84
Carp,3.5,4557,164,6.84
Banana Prawn,3.3,2008,93,2.8
Tilapia,1.2,3879,160,7.68
Pangasius,3.5,4505,159,7.21
Black Tiger Shrimp,4.4,4455,179,9.69
Tiger Prawn,3.1,4740,105,3.32
Tiger Prawn,2.0,3261,112,3.62
Freshwater Prawn,2.3,2006,149,3.24
Carp,0.8,2974,98,2.45
Catfish,2.1,1097,175,8.39
Vannamei,1.6,4376,171,9.23
Rohu,2.3,652,105,8.25
Rohu,3.6,4165,128,4.24
Catfish,4.1,2134,139,5.39
Catfish,2.5,2547,118,3.52
Blue Swimmer Crab,3.6,801,95,3.54
Milkfish,2.6,4280,132,4.94
Banana Prawn,0.9,599,109,8.89
Vannamei,1.8,1513,123,7.78
Salmon,4.4,4296,124,5.69
Catfish,1.2,823,177,3.63
Trout,1.5,3023,128,5.24
Blue Swimmer Crab,4.5,3369,159,5.7
Barramundi,1.8,2675,176,2.04
Blue Swimmer Crab,3.9,1616,127,9.91
Vannamei,4.4,3332,101,9.51
Seabass,4.5,2198,133,2.61
Milkfish,1.4,4331,111,8.27
Mud Crab,0.7,4334,154,8.05
Vannamei,1.5,2528,153,9.12
Seabass,2.4,4046,98,9.03
Barramundi,4.5,3427,173,7.16
Black Tiger Shrimp,3.0,1759,170,9.64
Milkfish,3.9,3626,159,6.09
Cod,3.4,2653,118,9.51
Banana Prawn,2.3,3214,106,8.02
Snapper,0.6,4666,93,5.33
Tilapia,1.6,1546,115,5.51
Pangasius,0.9,3486,176,9.62
Barramundi,2.3,1583,167,3.17
Whiteleg Shrimp,3.4,1691,118,7.26
King Crab,3.4,2382,115,2.15
Carp,3.0,3570,138,3.1
Banana Prawn,0.8,1291,94,6.83
Mud Crab,1.0,1160,95,6.18
Mud Crab,3.4,3268,178,7.84
Pangasius,1.6,2165,155,2.9
Rohu,1.4,762,167,6.47
Catfish,4.7,2526,150,6.48
Trout,2.1,1134,112,6.13
Tilapia,3.6,3426,97,5.24
Blue Swimmer Crab,0.5,4542,102,5.16
Soft Shell Crab,1.6,3958,155,4.33
Salmon,2.0,2793,169,2.2
Seabass,2.6,3466,148,5.11
Carp,0.5,908,116,2.44
Freshwater Prawn,4.7,1830,135,3.76
Tiger Prawn,3.6,837,128,3.37
Black Tiger Shrimp,2.0,3820,146,4.86
Banana Prawn,3.3,2916,165,8.34
Seabass,4.5,1276,162,5.32
Tilapia,3.6,3424,116,8.09
Pangasius,4.7,4848,104,2.77
Black Tiger Shrimp,3.1,1549,141,6.86
Snapper,3.5,1861,139,5.77
Grouper,4.7,3064,160,2.28
Carp,2.3,4179,141,6.98
Seabass,2.6,4385,177,7.16
Snapper,4.3,2300,126,9.31
Trout,2.5,4178,173,6.94
King Prawn,2.7,3400,123,3.28
Seabass,3.1,2128,102,3.69
Tuna,2.1,4997,131,8.62
Catfish,5.0,1582,158,5.99
Grouper,4.9,764,123,8.64
Carp,3.5,2580,152,3.69
