Country,State,Supplier_Name,Species,Seed_Quality_Rating,Contact,Distance_km
Indonesia,Alabama,Potter LLC,Barramundi,4,510-878-6584,106.2
Thailand,Arizona,Porter Inc,Banana Prawn,3,(934)635-4228,14.3
Vietnam,Minnesota,"Vargas, Lucas and Hughes",Seabass,3,+1-327-706-1772x60316,184.0
Thailand,Iowa,Payne PLC,Blue Swimmer Crab,5,296.308.7193x60610,145.2
Vietnam,Maine,Patterson-Singh,Mud Crab,3,882.655.7663x48178,131.6
Thailand,Minnesota,Sosa-Edwards,Freshwater Prawn,4,(412)283-6121,30.7
Vietnam,Minnesota,Martin-Mills,Blue Swimmer Crab,3,571-452-8207,95.9
Indonesia,Missouri,Miller Inc,Snow Crab,5,+1-701-305-9401x05151,2.9
Vietnam,Wisconsin,"Evans, Ho and Zhang",Snapper,5,(419)203-0372x6227,101.7
Bangladesh,Massachusetts,Pham-Mccoy,Black Tiger Shrimp,4,782-315-8344,138.1
Bangladesh,Texas,Banks Group,Blue Swimmer Crab,3,(414)998-1898x98193,168.7
Bangladesh,Montana,Edwards and Sons,Trout,4,+1-658-886-9715x180,48.0
Bangladesh,Michigan,"Norris, Horn and Bailey",Seabass,3,681-605-3739x063,19.7
Bangladesh,New Hampshire,Beltran-Burton,Tiger Prawn,4,+1-249-438-8796x783,195.9
Thailand,California,Rubio and Sons,Blue Swimmer Crab,3,+1-982-588-9656,188.4
Thailand,New Hampshire,Tran-Johnson,Vannamei,5,+1-348-786-4372x1704,133.1
Indonesia,Kansas,Miller-Bailey,Blue Swimmer Crab,3,639-958-2045,32.1
Indonesia,Tennessee,Gomez PLC,Whiteleg Shrimp,3,586-437-4233x81644,57.6
Indonesia,Vermont,Harris-Huang,Tuna,3,861-590-1152x196,6.8
Bangladesh,Alaska,"Randolph, Alvarez and Burns",Mud Crab,4,408-962-5935x149,102.8
Bangladesh,Massachusetts,"Fisher, Scott and Carey",Trout,5,231-612-8238x8526,62.7
India,Maine,Savage-Gonzalez,Freshwater Prawn,4,(803)510-0199x75073,169.4
Vietnam,Connecticut,Ross-Reyes,King Crab,5,001-526-239-2018x318,117.3
Vietnam,Nebraska,"Mcintyre, Mooney and Vega",Mud Crab,5,558.822.6223,67.9
India,North Carolina,Garcia-Nixon,Banana Prawn,5,(513)599-3397x1917,161.4
India,Minnesota,Hall-Donovan,Snow Crab,4,(201)242-9188x5675,87.9
Bangladesh,Washington,Johnson-Lawson,King Crab,4,(510)993-2889,35.4
Indonesia,Michigan,Murphy-Wolf,Soft Shell Crab,5,(563)463-4603x758,138.0
India,Indiana,Bennett Inc,Black Tiger Shrimp,4,001-245-739-8780x425,169.7
Indonesia,Wyoming,"Lindsey, Rosario and Knight",Pangasius,3,(737)403-7956x6468,137.8
India,Nebraska,Acosta-Salazar,Soft Shell Crab,3,+1-323-650-8987x95341,60.2
India,Rhode Island,Ward-Blair,Salmon,5,621.958.5773x76006,19.5
Bangladesh,Florida,King-Fitzgerald,King Prawn,3,660-887-1732,83.4
India,Arizona,Williamson LLC,Dungeness Crab,4,001-563-654-2097x0689,35.6
Thailand,Illinois,"Sims, Bradley and Schmidt",Mud Crab,4,+1-210-932-4219x068,156.9
Vietnam,Colorado,Fletcher-Torres,King Prawn,3,001-291-218-0642x57597,134.8
Vietnam,Georgia,Rogers-Collins,Carp,3,7959613065,122.0
Thailand,Alabama,"Vargas, Williams and Chavez",Tilapia,4,+1-234-686-0101x587,125.5
Thailand,Arkansas,White-Campbell,Tiger Prawn,3,724-283-2231,78.4
Vietnam,New Jersey,Santiago-Blake,Seabass,5,852.375.1549x9549,66.7
India,Louisiana,"Leon, Salas and Wilson",Blue Swimmer Crab,3,(765)727-0880,70.5
Indonesia,Iowa,Evans PLC,Tiger Prawn,5,560-918-6728x08553,121.5
Bangladesh,California,"Herrera, Ball and West",Cod,5,402-840-0023x52372,145.6
Bangladesh,Arizona,Smith Ltd,Rohu,3,+1-579-550-6285,157.7
India,Pennsylvania,Jones-Smith,Catfish,3,608.475.7396x73479,35.6
India,Colorado,Blackburn-Freeman,Trout,4,001-481-950-9795x0214,65.0
Bangladesh,Indiana,Dixon Inc,Pangasius,5,+1-681-542-7349x1207,125.2
Thailand,Wisconsin,Wolf-Hall,Grouper,5,001-612-933-2901x89234,72.0
Thailand,Maine,"Jenkins, Cook and Cobb",Carp,3,001-966-392-4995x732,167.2
Vietnam,Washington,"Ingram, Cervantes and Gardner",Pangasius,5,964.421.4060x91247,150.1
India,South Carolina,"Garcia, Johnson and Benton",Tiger Prawn,3,3908346078,117.2
Vietnam,Colorado,"Crosby, Miller and Steele",Pangasius,5,001-757-847-3343,190.8
Thailand,Mississippi,"Cox, Boone and Ford",Dungeness Crab,3,579.242.2493,168.3
Thailand,Idaho,Burke Group,King Prawn,3,891-753-4174x437,85.5
Vietnam,Arkansas,Ford-Jackson,Barramundi,5,(242)816-3877x439,132.0
India,Colorado,"Campbell, Sanchez and Shelton",Pangasius,3,(651)571-1403x5597,26.5
India,Minnesota,"Taylor, Moore and Weaver",Vannamei,4,+1-504-466-4892x68299,60.8
Thailand,Florida,"Cummings, Ford and Pitts",Trout,3,(309)705-3664,84.9
Indonesia,Maryland,"Davis, Galloway and Jones",Pangasius,3,635.916.8704,94.1
Vietnam,Vermont,Vasquez-Clements,Trout,5,391-203-7776x02413,189.9
Bangladesh,Illinois,Martinez LLC,Blue Swimmer Crab,3,370.748.8195,34.4
Vietnam,Louisiana,Greene-White,Tilapia,3,+1-568-782-6858x0316,15.8
India,Nevada,Davis Group,Freshwater Prawn,5,596.666.9353,94.2
Bangladesh,Washington,Cummings Group,Pangasius,5,+1-204-832-8766,38.7
India,New Jersey,Nelson-Washington,Catfish,4,632.689.3099,183.9
Vietnam,New Jersey,Santos-West,Snapper,3,323-740-5702x752,23.2
Indonesia,Iowa,"Santos, Fowler and Anderson",Pangasius,5,623-930-5518x196,59.7
Vietnam,Arkansas,Smith-Maldonado,Trout,4,+1-593-896-2625x839,199.1
Thailand,Oklahoma,Hart-Leon,Grouper,4,+1-471-565-3512x43976,159.4
India,Wyoming,"Dominguez, Vazquez and Cohen",Cod,4,+1-571-919-3095,43.8
Bangladesh,New Hampshire,"Flores, Robinson and Cole",Tuna,4,(642)509-2545x61595,173.5
Vietnam,Missouri,"Davila, Davis and Bailey",Milkfish,3,523.325.8116x15234,106.1
Thailand,New Mexico,Taylor Group,Snow Crab,3,987.498.9926x496,125.6
Indonesia,Florida,Wilkins-Martinez,Seabass,5,286.253.4700,165.0
Bangladesh,Kansas,Decker-Cruz,Vannamei,4,+1-976-613-1981,43.9
Vietnam,Connecticut,"Irwin, Espinoza and Odom",Rohu,5,001-630-651-8122x9037,39.3
Indonesia,Florida,Melton-Rodriguez,Rohu,4,426.659.1667,162.2
Indonesia,Georgia,"Davis, Montes and Garcia",Vannamei,4,(978)412-4337,11.4
Thailand,Louisiana,Howell-Stewart,Carp,5,001-667-801-5008x501,78.4
Indonesia,Georgia,Campbell-Perez,Catfish,3,001-704-632-2659x844,134.2
Bangladesh,Delaware,Johnson and Sons,King Crab,5,(832)295-5183x96754,3.0
Bangladesh,West Virginia,James-Jimenez,Milkfish,4,+1-451-599-7295x41092,141.2
Thailand,Florida,"Mullins, Wong and Perry",Barramundi,3,219-412-8106x83476,114.7
Bangladesh,Louisiana,Smith-Montgomery,Banana Prawn,4,(440)689-1828,1.8
Bangladesh,Colorado,"Jones, Mitchell and Anderson",Tiger Prawn,4,796.669.2329x01320,25.5
Thailand,Mississippi,Huerta-Johnson,Tiger Prawn,3,977-368-4227x922,45.8
Thailand,New Hampshire,"Cunningham, Reid and Davis",Whiteleg Shrimp,4,001-205-431-1624x00989,29.1
India,South Dakota,"Clark, Coleman and White",Grouper,3,+1-811-222-7967x315,37.1
Indonesia,Illinois,Watson-Wagner,Banana Prawn,5,(229)289-3149,125.7
Thailand,Alabama,Richards Ltd,Seabass,5,529.408.7615,165.7
Thailand,New Hampshire,Brock Inc,Catfish,4,+1-359-298-7016,126.0
Indonesia,Massachusetts,Smith LLC,King Crab,3,651.935.2756,99.8
Bangladesh,Arkansas,"Warren, Payne and Zuniga",Salmon,3,705-370-2576,194.1
India,Rhode Island,"Hernandez, Allen and Caldwell",King Prawn,3,(248)362-0337x936,138.0
India,South Carolina,Torres Group,Vannamei,4,412.963.8831x2569,129.5
Bangladesh,Hawaii,Murphy-Phillips,Tilapia,4,+1-742-572-9752x0815,129.0
Thailand,New York,"Martin, Delgado and Nguyen",Carp,3,462-359-2746x5084,37.0
Bangladesh,Vermont,Walker Group,Banana Prawn,4,(952)486-9298x6356,133.6
Bangladesh,New Mexico,Lowe-Lawrence,Grouper,4,(329)384-0696x0418,144.4
Vietnam,Nevada,Morales-Andrews,Whiteleg Shrimp,5,001-200-439-4388x261,6.7
India,Connecticut,Miller-Graham,Trout,4,(365)589-8774x42750,46.5
Thailand,Idaho,Jacobson-Mcbride,Grouper,3,899.923.0008x023,130.0
Indonesia,Indiana,Valdez and Sons,Carp,5,+1-657-201-0917x82681,78.9
Vietnam,Oregon,Snyder-Sutton,Tilapia,3,(286)307-2925x25384,84.1
Vietnam,Pennsylvania,Bradley and Sons,Barramundi,3,(808)681-9122x220,104.0
Indonesia,Alaska,Williams-Smith,Cod,4,001-446-357-1522x72465,59.7
Indonesia,Kentucky,Johnson Inc,Milkfish,5,407.543.0170x1139,7.9
Indonesia,Connecticut,Murphy PLC,Soft Shell Crab,4,704-522-3355x67719,25.0
India,Alabama,"Hill, Oliver and Navarro",Soft Shell Crab,5,+1-916-549-5106x1171,152.9
Vietnam,North Dakota,"Patel, Harris and Soto",Vannamei,3,(599)231-5375x70750,139.0
Bangladesh,Washington,"Pineda, Franco and Oliver",King Crab,5,375-724-3797x48537,118.9
Bangladesh,Louisiana,Lee-Williams,Tilapia,5,(528)968-2038x380,178.7
Indonesia,Texas,Henderson-Meyer,Rohu,3,+1-602-955-5263,74.5
Thailand,Oregon,Perkins-Hunter,Snow Crab,4,(259)643-9133x86665,194.3
Thailand,Michigan,Black-Peterson,Tiger Prawn,4,829.347.1134,26.1
Bangladesh,North Dakota,Clark-Summers,King Prawn,3,364-967-9688,165.5
Bangladesh,Arkansas,Jacobson Group,Freshwater Prawn,4,7302121700,103.6
Indonesia,Minnesota,Campbell and Sons,Salmon,4,7484604989,56.3
Vietnam,Idaho,Lewis and Sons,Tuna,5,(913)880-3965,146.8
Bangladesh,California,"Woods, Berg and Hill",King Crab,3,(211)932-1799,18.3
India,Georgia,"Tyler, Martin and Hill",Freshwater Prawn,3,+1-822-562-9758x144,89.2
Thailand,Delaware,"Taylor, Rodriguez and Munoz",Rohu,5,001-625-251-2509x260,14.8
India,Arkansas,Klein-Gray,Cod,3,(259)436-1691,167.0
Thailand,Massachusetts,Barnes-Johnson,Tiger Prawn,4,385-825-8349x04917,135.2
India,Louisiana,"Griffith, Christensen and Williams",Soft Shell Crab,4,568.624.3609,63.7
Indonesia,Louisiana,Marquez Inc,Blue Swimmer Crab,4,+1-990-277-2365x827,81.0
Bangladesh,Ohio,"Palmer, Brown and Edwards",Tilapia,5,001-304-505-7310x231,151.6
Indonesia,Kansas,Smith LLC,Black Tiger Shrimp,5,705-321-6990,184.4
Indonesia,Rhode Island,"Clark, Hodge and Martinez",Snow Crab,3,8409587557,137.6
Bangladesh,Virginia,Williams Group,Trout,4,238.503.6541,16.6
Indonesia,Nevada,Jimenez LLC,Rohu,5,514.973.8805x25221,50.7
India,Washington,Johnson-Harper,King Prawn,5,611-690-1729x64057,105.3
Bangladesh,North Dakota,Adams and Sons,Trout,5,966-492-5432x6562,156.8
Vietnam,Montana,Ross Group,Blue Swimmer Crab,3,629.457.2935x510,196.0
Vietnam,New Jersey,"Hogan, Warren and Gould",Seabass,3,3293237694,178.1
Indonesia,West Virginia,"Parker, Tanner and Johnson",Banana Prawn,3,880.606.3116,38.3
Bangladesh,New Hampshire,Ritter LLC,Tilapia,5,(678)349-3988,37.1
Indonesia,Colorado,Austin PLC,King Crab,5,+1-567-397-9313x5586,89.0
Thailand,New York,Hughes-Martinez,Vannamei,3,312.968.9925x51137,175.7
Vietnam,Indiana,"Gomez, Montgomery and Garner",Dungeness Crab,5,001-421-840-9129x12366,183.5
Vietnam,Nevada,Kramer-Robbins,Barramundi,5,(228)237-4100x06758,176.6
India,Colorado,"Jones, Greene and Hoffman",Blue Swimmer Crab,5,667-972-1333,154.9
India,New Hampshire,Pacheco-Reed,King Crab,3,986.266.8760x9046,8.0
Thailand,North Carolina,Brown-Woods,Freshwater Prawn,4,333-882-6856x51274,169.8
Indonesia,Alabama,"Armstrong, Daniel and Moore",Barramundi,4,(720)572-2864x74175,68.2
India,Nebraska,Foster LLC,Salmon,4,(773)708-2339x38147,51.8
India,Wyoming,Heath-Sparks,Barramundi,4,517-909-3068x2568,49.4
Bangladesh,Minnesota,Gilbert-Thompson,Snow Crab,4,(687)887-4343x76282,87.4
Vietnam,Wisconsin,Humphrey-Rodriguez,Vannamei,4,001-372-574-2873x0095,88.7
Indonesia,Ohio,Price-Mccarthy,Cod,3,5686056364,102.8
Thailand,Nevada,Collins Ltd,Catfish,5,629-488-8305x424,20.8
Indonesia,Iowa,Vincent Group,Salmon,4,+1-438-775-8686x16958,115.2
India,Louisiana,Estrada Group,Catfish,3,+1-898-336-5283,30.1
India,Idaho,Anderson and Sons,King Crab,4,(312)420-4149,72.9
India,Kentucky,Mosley-Molina,Mud Crab,3,279.913.0377x047,65.3
Indonesia,South Dakota,Bird-Evans,Seabass,4,001-403-719-4050,135.0
Thailand,Virginia,Wells-Jones,Carp,4,2542666301,118.4
Bangladesh,Nebraska,Robbins Group,Dungeness Crab,3,001-379-371-4870x082,165.2
Thailand,Tennessee,"Suarez, Ramsey and Bell",Rohu,5,794-764-0525x58616,41.1
Thailand,Nebraska,"Parker, Mcconnell and Gomez",Milkfish,4,(250)458-0429x1776,163.9
India,Alabama,Chen and Sons,King Crab,3,(347)515-3159x75547,197.6
Thailand,Mississippi,Moore PLC,Seabass,5,+1-321-469-0454x7386,111.1
Bangladesh,West Virginia,"Cowan, Smith and Mccoy",Snow Crab,4,(880)813-1902x3327,61.5
Indonesia,New Hampshire,"Clark, Watson and Fernandez",Salmon,3,9319773412,169.0
Vietnam,Minnesota,"Chavez, Peters and Moore",Pangasius,5,782.912.7845x1318,67.6
Indonesia,Minnesota,"Gould, Hall and Gilbert",Soft Shell Crab,4,613-933-8979,108.4
Vietnam,Maine,Robinson-Stewart,Black Tiger Shrimp,4,+1-862-741-6747x6874,165.5
Thailand,Alabama,Huang and Sons,Dungeness Crab,5,001-999-728-3836x859,122.9
Indonesia,Idaho,Hendricks and Sons,Carp,5,599.365.3898x429,126.7
Bangladesh,Alabama,Wilson PLC,Dungeness Crab,4,397-256-1862x949,105.2
Bangladesh,West Virginia,Sullivan-Proctor,Pangasius,3,001-249-738-0716x60647,6.0
India,Iowa,Shaw Ltd,Seabass,4,(916)278-6929x27534,14.0
Vietnam,Alaska,Pearson-Anderson,Dungeness Crab,3,581-449-0290x15310,146.6
Indonesia,Florida,"Gamble, Ryan and Leonard",Seabass,4,(201)991-1663x455,125.5
Bangladesh,Oklahoma,Benton-Thornton,Snow Crab,3,001-694-982-9291,160.0
India,New York,Murphy Ltd,Vannamei,5,4738503379,88.5
Indonesia,Maryland,"Green, Chan and Parker",Soft Shell Crab,5,443-668-1219x9036,59.7
Vietnam,Montana,Palmer LLC,Black Tiger Shrimp,3,001-694-731-9943x54427,43.0
Indonesia,Oklahoma,"Gates, Pierce and Horton",Rohu,5,764.346.1108x5589,87.3
Thailand,Illinois,Grimes and Sons,King Prawn,5,821.665.0066,84.2
India,Kansas,"Diaz, Butler and Johnson",Seabass,4,(620)400-9508x67481,189.0
Bangladesh,Iowa,Stone Ltd,Vannamei,4,(429)293-5136,95.6
Thailand,Minnesota,Parsons Ltd,Dungeness Crab,3,777.381.7528x115,113.3
Bangladesh,Alaska,"Daniels, Boone and Richard",Freshwater Prawn,3,446-482-7997x964,155.1
Indonesia,New Hampshire,"Sanchez, Rodgers and Sellers",Milkfish,4,320-626-2518x3139,35.0
Indonesia,Utah,Walker Inc,Snapper,3,631-396-5564,135.0
Thailand,Nevada,"Patel, Butler and Turner",Mud Crab,5,4328758777,58.3
Bangladesh,New York,Mccann LLC,King Prawn,3,902-829-4715x121,9.6
Indonesia,Connecticut,Eaton Ltd,Tilapia,5,001-426-657-3085x94802,19.7
India,Wisconsin,Ashley Group,King Crab,5,001-252-532-4834x02583,187.6
Vietnam,Oklahoma,Mitchell-Jackson,Milkfish,5,001-348-859-8301x9565,192.7
Thailand,New Jersey,"Haynes, Heath and Mcbride",Tilapia,4,234-625-2544x2801,183.0
Bangladesh,Connecticut,Rivas Inc,King Prawn,3,530.465.1196,75.3
Bangladesh,Indiana,"Wong, Malone and Gamble",Trout,4,+1-600-256-9299x003,188.1
India,New Hampshire,Thomas Ltd,Seabass,4,(801)642-8176x7740,191.6
Thailand,Texas,Thompson-Wheeler,Pangasius,5,545-927-2744,32.9
Vietnam,Tennessee,"Anderson, Ford and Adams",Black Tiger Shrimp,3,967.790.6915,156.0
Bangladesh,Indiana,Orr and Sons,Tilapia,4,287-287-6887,198.2
Indonesia,Kansas,Wright and Sons,Freshwater Prawn,4,001-310-537-2883x077,16.2
Vietnam,Maine,Brown-Rich,Snapper,4,+1-467-624-8451x8317,75.8
Bangladesh,Maine,Walter and Sons,Snapper,4,+1-993-461-8599x814,28.3
Vietnam,Oklahoma,Garcia LLC,Pangasius,5,688-807-4126,186.2
Indonesia,Alaska,"Pearson, Henderson and Moore",Whiteleg Shrimp,3,2987924569,66.0
India,Missouri,"Jones, Harris and Cordova",Salmon,4,3014267610,127.0
Indonesia,Missouri,Jones-Porter,Tuna,3,+1-867-942-8023x82968,15.2
Bangladesh,Arkansas,Marshall Group,Barramundi,4,(618)802-8682,64.5
Bangladesh,Utah,"Molina, Taylor and Tanner",Whiteleg Shrimp,5,838-330-2852x14121,173.5
Thailand,Texas,Anderson-Perry,Banana Prawn,5,664.243.0442x114,139.1
Indonesia,Arizona,Miller PLC,Tilapia,4,405.875.4179x80113,139.7
Bangladesh,Louisiana,Campbell Ltd,Seabass,3,001-328-508-6122x255,156.0
Vietnam,Wyoming,"Stewart, Nunez and Johnson",Soft Shell Crab,3,(368)845-6988,160.3
Vietnam,Georgia,Bryant-Smith,Blue Swimmer Crab,3,+1-788-246-9579x37044,118.5
Bangladesh,South Carolina,Watson-King,Banana Prawn,5,531-723-4165x381,21.7
Vietnam,Pennsylvania,"Larson, Wright and Taylor",Black Tiger Shrimp,4,001-619-824-3958x6478,72.6
India,Connecticut,Gutierrez-Miller,Snapper,5,(550)625-0506,149.8
Vietnam,Arizona,"Ward, Peters and Calhoun",Banana Prawn,3,848-391-8400x415,21.4
Indonesia,Florida,Mckinney-Mcguire,Dungeness Crab,5,517-225-6271,131.1
Vietnam,Oregon,Reid-Black,Cod,4,(741)885-9452,5.9
Vietnam,Massachusetts,Rodriguez-Spencer,Tuna,5,651.822.7447x1459,157.3
Indonesia,Arkansas,"Brown, Daniels and Monroe",Snapper,5,+1-801-955-8958,92.4
Vietnam,Minnesota,Harmon-Adams,Carp,3,629.970.8354x47735,81.9
Vietnam,Montana,Washington and Sons,Trout,4,(475)998-3701x04472,89.8
Indonesia,Montana,Garrett-Hamilton,Dungeness Crab,4,255-419-4048,106.3
Bangladesh,Oklahoma,Hancock-Bowers,Salmon,4,760-391-0241x59180,125.6
Vietnam,Washington,Wilkins LLC,Carp,4,219-318-6215x3822,43.7
Indonesia,Utah,Rogers-Smith,Banana Prawn,3,526-901-0297x602,5.0
Bangladesh,Nevada,"Pena, Howe and Reynolds",Barramundi,4,701.774.6946,58.2
Indonesia,Maryland,Edwards-Austin,Milkfish,4,+1-255-782-4670x8444,49.7
India,South Dakota,"Strickland, Riggs and Fischer",Banana Prawn,4,001-522-776-3890,22.2
India,Hawaii,Khan-Johns,Catfish,5,(921)448-5942,25.3
India,Oregon,Morgan-Bridges,Snow Crab,5,+1-852-565-3215x0930,98.1
Indonesia,Ohio,"Tate, Carroll and Stokes",Milkfish,3,758.253.2999,54.9
Bangladesh,Massachusetts,Thompson-Perez,Tuna,4,220-236-9881,24.5
India,Pennsylvania,Stephens-Hayes,Barramundi,4,923-487-5197x1213,48.0
Indonesia,Missouri,Mendez Inc,King Prawn,4,001-372-514-8907x3908,174.3
Bangladesh,Illinois,"Davis, Moody and Franklin",King Prawn,4,+1-734-673-6804x8977,197.3
Thailand,Tennessee,"Villa, Powell and Harris",Tuna,5,(691)311-7509x92415,96.3
Indonesia,Nevada,Johnson and Sons,Snow Crab,5,407.394.3863x86058,166.2
India,Kentucky,Wolf-Jones,Tiger Prawn,5,717.831.6010x942,19.2
India,Rhode Island,"Holmes, Cook and Bryant",Cod,5,369.671.1572x2023,128.6
Thailand,North Dakota,Vasquez-Spencer,Soft Shell Crab,3,(820)615-8729x25222,24.7
India,Montana,Fox Group,Barramundi,5,848-777-4314x66094,163.6
Bangladesh,Wyoming,Macias and Sons,King Prawn,4,(934)692-9679,2.0
Bangladesh,Oregon,Jackson-Singh,Catfish,4,(783)469-8740,165.5
India,Colorado,Kramer-Moore,Pangasius,5,(524)210-3732x1134,88.2
Indonesia,Delaware,Mcconnell Group,Snapper,5,001-371-749-6415x26132,87.7
