Country,State,District,Latitude,Longitude,Climate_Zone,Season,Aqua_Type,Species,Suitability_Score
Bangladesh,Rajshahi,East Kristenmouth,9.4754,72.9571,Tropical,Winter,Crab,Snow Crab,94
Indonesia,Nakorn Si Thammarat,North Karenchester,16.4152,80.3762,Tropical,Winter,Fish,Carp,68
Thailand,Java,Robertton,16.3993,81.8256,Tropical,Summer,Fish,Catfish,71
Vietnam,West Bengal,Lake John,3.3768,60.6019,Subtropical,Summer,Crab,Soft Shell Crab,48
Vietnam,Soc Trang,Brandonmouth,22.1184,81.9721,Subtropical,Monsoon,Prawn,Freshwater Prawn,76
Indonesia,Tamil Nadu,Lake Janice,9.0137,83.9616,Subtropical,Summer,Crab,Mud Crab,76
Indonesia,Andhra Pradesh,New Timothy,17.5615,80.5201,Subtropical,Winter,Crab,Blue Swimmer Crab,53
India,Andhra Pradesh,Michaelton,-1.4318,83.7134,Subtropical,Monsoon,Fish,Trout,80
Indonesia,Surat Thani,Miguelhaven,29.0771,89.2057,Tropical,Winter,Fish,Cod,51
Vietnam,Sylhet,New Kathryn,15.0775,92.1774,Subtropical,Monsoon,Crab,Mud Crab,66
Indonesia,Barisal,Jonesshire,-6.1599,65.6588,Subtropical,Monsoon,Fish,Tilapia,49
Vietnam,Odisha,East Maryside,19.8754,70.0494,Subtropical,Monsoon,Fish,Snapper,40
Indonesia,Sylhet,Terrimouth,-0.6048,98.4263,Tropical,Summer,Prawn,Freshwater Prawn,82
Thailand,Sulawesi,Bryanborough,11.9472,66.3089,Tropical,Winter,Fish,Trout,95
India,Odisha,Gregorymouth,8.5886,92.5401,Subtropical,Winter,Fish,Pangasius,95
India,Chonburi,Barbarafort,6.2849,78.3602,Subtropical,Summer,Fish,Trout,46
Bangladesh,West Bengal,North Shelbymouth,-5.6101,77.1621,Subtropical,Summer,Fish,Pangasius,99
India,Chonburi,Kevinton,-8.2025,72.7093,Tropical,Winter,Crab,Mud Crab,94
Thailand,Chittagong,Haydenchester,24.0465,65.1904,Tropical,Monsoon,Fish,Tilapia,95
India,Java,Nelsonhaven,16.2725,92.2316,Subtropical,Summer,Fish,Cod,48
Vietnam,Barisal,Port Dawn,-3.0082,82.6962,Tropical,Monsoon,Prawn,Black Tiger Shrimp,96
Vietnam,Kerala,North Saramouth,-1.6254,88.1999,Subtropical,Summer,Crab,King Crab,92
Bangladesh,Barisal,Richardberg,-0.3094,81.2945,Subtropical,Winter,Crab,Snow Crab,98
Indonesia,Nakorn Si Thammarat,Mossburgh,3.481,77.7168,Tropical,Monsoon,Fish,Salmon,44
Vietnam,Sumatra,Jefferyfurt,25.6328,92.7099,Subtropical,Summer,Fish,Carp,88
India,Odisha,Beckborough,18.9668,96.0286,Subtropical,Winter,Fish,Catfish,65
Vietnam,Barisal,East Michelle,-4.2137,84.7138,Tropical,Winter,Prawn,Whiteleg Shrimp,73
Thailand,Kalimantan,Kaitlinport,-2.4199,60.9556,Tropical,Summer,Fish,Snapper,41
Vietnam,Khulna,East Gregory,20.8586,78.9902,Tropical,Summer,Fish,Rohu,86
Bangladesh,Java,North Rebecca,13.6799,80.9702,Subtropical,Winter,Crab,King Crab,89
Indonesia,Java,East Jessicamouth,2.4253,85.1688,Subtropical,Winter,Fish,Cod,73
India,West Bengal,New Felicia,-9.9841,67.409,Tropical,Summer,Prawn,Black Tiger Shrimp,70
Indonesia,Java,Karenborough,18.4541,63.7155,Tropical,Monsoon,Crab,King Crab,68
Indonesia,Bali,South Kevinton,-6.817,73.2215,Tropical,Summer,Fish,Barramundi,71
Bangladesh,Chonburi,Ballardberg,21.563,67.2973,Subtropical,Monsoon,Fish,Grouper,41
Indonesia,Nakorn Si Thammarat,Jimenezmouth,27.1307,80.8336,Subtropical,Monsoon,Fish,Snapper,95
India,Tamil Nadu,North Robertview,-7.6356,67.8508,Subtropical,Summer,Fish,Tilapia,40
Bangladesh,Sylhet,Gabriellaborough,23.5663,90.3356,Tropical,Monsoon,Fish,Snapper,74
Thailand,Nakorn Si Thammarat,North Kyle,16.7261,98.5304,Subtropical,Summer,Crab,Soft Shell Crab,83
Vietnam,Sylhet,New Amy,0.4352,82.7726,Tropical,Summer,Fish,Tuna,96
Bangladesh,Tamil Nadu,North Clintontown,9.5164,71.8751,Tropical,Summer,Fish,Tilapia,79
India,Bali,Amandaside,12.3008,78.3606,Tropical,Winter,Fish,Snapper,85
Indonesia,Sulawesi,Masonhaven,13.1876,83.3435,Tropical,Monsoon,Fish,Snapper,50
Indonesia,Java,Dylanville,-8.8018,82.9816,Tropical,Winter,Fish,Tuna,73
Bangladesh,Java,Langland,14.2544,95.4096,Subtropical,Monsoon,Crab,Dungeness Crab,41
India,Andhra Pradesh,South Dianamouth,-1.7249,71.1389,Tropical,Summer,Fish,Grouper,70
Indonesia,Barisal,Kristenton,27.6038,60.9091,Tropical,Summer,Prawn,Banana Prawn,42
Vietnam,West Bengal,Lake Kennethborough,17.6308,93.6488,Subtropical,Winter,Prawn,Vannamei,61
Thailand,Andhra Pradesh,South Brandon,18.8368,79.5652,Tropical,Summer,Crab,Soft Shell Crab,85
Indonesia,Andhra Pradesh,New Jordan,5.609,68.3123,Tropical,Monsoon,Fish,Milkfish,73
Thailand,Chonburi,West Robertton,4.9608,97.8944,Tropical,Summer,Fish,Catfish,90
India,Bac Lieu,Lake Lisafurt,24.7596,83.9628,Subtropical,Monsoon,Fish,Trout,90
Bangladesh,Bihar,Montoyamouth,10.367,61.3674,Tropical,Monsoon,Fish,Seabass,77
Thailand,Gujarat,Philipfort,-9.0168,99.1143,Subtropical,Monsoon,Crab,Dungeness Crab,54
India,Ca Mau,South Shelly,18.1861,66.8197,Tropical,Monsoon,Fish,Pangasius,96
Thailand,Soc Trang,Masonbury,8.5756,90.5532,Subtropical,Summer,Fish,Carp,41
Thailand,Mekong Delta,Aaronstad,-1.0195,76.314,Subtropical,Monsoon,Fish,Tilapia,81
Thailand,Bac Lieu,North Jeremybury,-7.2276,75.2356,Subtropical,Monsoon,Fish,Carp,96
Indonesia,West Bengal,Lake Christinaville,11.0903,63.0094,Subtropical,Monsoon,Fish,Tilapia,74
Vietnam,Soc Trang,South Heatherstad,3.944,96.8529,Subtropical,Winter,Crab,Blue Swimmer Crab,66
India,Kalimantan,North Nancy,-4.6101,96.2677,Subtropical,Summer,Fish,Pangasius,82
Bangladesh,Bac Lieu,Lake Sheila,1.6135,93.2469,Tropical,Monsoon,Fish,Barramundi,66
Indonesia,Khulna,New Johnny,-4.2129,64.9274,Subtropical,Summer,Crab,Blue Swimmer Crab,89
Bangladesh,Nakorn Si Thammarat,Curtischester,2.8472,81.9344,Tropical,Winter,Fish,Seabass,78
Bangladesh,Bihar,Kelseystad,1.0688,65.7595,Subtropical,Monsoon,Fish,Grouper,40
Vietnam,Rayong,East John,20.2739,69.0586,Subtropical,Monsoon,Prawn,Freshwater Prawn,83
Bangladesh,Java,North Kylefort,-9.2798,69.5552,Subtropical,Monsoon,Crab,Soft Shell Crab,88
Bangladesh,Sulawesi,Armstrongport,27.6596,99.6138,Tropical,Summer,Fish,Rohu,54
Bangladesh,Bac Lieu,Barajasburgh,14.4052,71.3431,Tropical,Monsoon,Fish,Salmon,90
Vietnam,Sulawesi,Port Jessica,8.725,60.0315,Tropical,Summer,Fish,Catfish,99
Bangladesh,Odisha,West Tinaport,28.2155,74.0129,Tropical,Monsoon,Fish,Seabass,86
Indonesia,Kalimantan,Johnshire,5.6902,91.3722,Tropical,Summer,Fish,Seabass,90
Indonesia,Bihar,Josefort,3.099,69.6247,Subtropical,Winter,Fish,Catfish,73
Thailand,West Bengal,Obrienfort,-7.2082,92.3878,Subtropical,Winter,Prawn,Banana Prawn,75
India,Rajshahi,Lake Julieburgh,-4.0711,63.0033,Tropical,Summer,Fish,Rohu,70
Thailand,Chonburi,Brittanyview,26.6993,94.3034,Subtropical,Summer,Fish,Seabass,69
Vietnam,Barisal,Williamsport,-1.4485,92.744,Subtropical,Winter,Prawn,Banana Prawn,83
India,Soc Trang,South Donald,-7.1588,67.7364,Subtropical,Winter,Prawn,King Prawn,83
Bangladesh,Bihar,Jasonburgh,3.4255,71.204,Subtropical,Winter,Prawn,King Prawn,64
Vietnam,Rajshahi,Bradfurt,28.8808,97.2795,Tropical,Winter,Prawn,Black Tiger Shrimp,87
India,Khulna,Haysfort,-7.0705,93.8732,Subtropical,Summer,Prawn,Banana Prawn,64
India,Java,New Carla,24.4276,68.6618,Tropical,Winter,Prawn,Black Tiger Shrimp,64
Bangladesh,Kerala,Lake Diane,6.3882,80.9684,Subtropical,Summer,Fish,Barramundi,96
Indonesia,Sulawesi,Jacobfort,-8.1083,75.5937,Tropical,Winter,Fish,Seabass,63
India,Surat Thani,North Sarah,-8.0437,69.6091,Subtropical,Summer,Fish,Salmon,46
Thailand,Soc Trang,Smithhaven,11.8814,67.8645,Tropical,Winter,Fish,Cod,90
Bangladesh,Can Tho,Robertstad,-6.1865,65.968,Subtropical,Winter,Prawn,Whiteleg Shrimp,68
Vietnam,Kerala,Bryanville,23.1708,71.2045,Subtropical,Summer,Fish,Snapper,46
Indonesia,Java,Port Diana,29.826,72.5745,Tropical,Monsoon,Crab,King Crab,57
Bangladesh,Rajshahi,Charlesfort,15.6385,80.3578,Subtropical,Monsoon,Crab,Mud Crab,65
Vietnam,Odisha,Bushland,19.0221,85.6741,Subtropical,Summer,Crab,Dungeness Crab,72
Bangladesh,Sumatra,Franklinport,20.9727,62.9326,Tropical,Winter,Fish,Tilapia,81
Bangladesh,West Bengal,West Jasmine,8.4495,69.741,Subtropical,Winter,Fish,Rohu,81
Bangladesh,Nakorn Si Thammarat,North Nathanberg,12.208,96.0999,Tropical,Summer,Fish,Barramundi,40
Thailand,Sylhet,Port Johnburgh,26.4935,73.1557,Tropical,Winter,Crab,Mud Crab,83
India,Surat Thani,Johnsonmouth,25.0309,82.2474,Tropical,Winter,Fish,Pangasius,47
Indonesia,Sumatra,Tamaraberg,-7.332,88.3739,Tropical,Winter,Fish,Salmon,78
Indonesia,Kerala,Port Chadhaven,-7.3856,93.3758,Subtropical,Monsoon,Prawn,Vannamei,61
India,Sumatra,Scottland,10.7421,97.2811,Tropical,Monsoon,Fish,Seabass,40
Thailand,Mekong Delta,North Janebury,26.9232,72.1262,Tropical,Summer,Prawn,Banana Prawn,64
India,Sumatra,Josephland,17.0499,96.1888,Tropical,Winter,Prawn,Black Tiger Shrimp,65
India,Mekong Delta,West Crystalberg,10.0649,61.5702,Tropical,Summer,Crab,Blue Swimmer Crab,75
Indonesia,Gujarat,Brianton,-8.294,91.7232,Subtropical,Winter,Crab,King Crab,59
Vietnam,Sumatra,Hallberg,1.1599,92.2818,Subtropical,Monsoon,Prawn,Freshwater Prawn,59
Thailand,Andhra Pradesh,Lake Jaclynborough,27.3977,80.1161,Subtropical,Summer,Fish,Barramundi,92
Thailand,Sylhet,Lake Daniel,0.8197,83.8404,Subtropical,Summer,Fish,Salmon,85
Indonesia,Bac Lieu,Ericmouth,1.0584,75.1151,Tropical,Monsoon,Prawn,Black Tiger Shrimp,44
Bangladesh,Soc Trang,New Wendy,26.4728,63.3645,Tropical,Summer,Fish,Grouper,100
Indonesia,Bac Lieu,Lake James,26.0465,69.6257,Tropical,Monsoon,Crab,Mud Crab,90
Bangladesh,Can Tho,Nicholasstad,29.7445,68.7025,Tropical,Monsoon,Crab,King Crab,58
Indonesia,Rajshahi,Wadehaven,10.956,83.8106,Tropical,Summer,Fish,Seabass,75
Indonesia,Mekong Delta,New Jacqueline,-5.7877,60.8751,Tropical,Monsoon,Fish,Barramundi,53
Bangladesh,Sumatra,West Kelliport,17.745,91.2381,Tropical,Monsoon,Prawn,King Prawn,70
Thailand,Trat,New Micheleside,2.264,77.103,Subtropical,Summer,Prawn,Freshwater Prawn,99
Thailand,Bihar,Port Johnberg,12.5282,67.6259,Subtropical,Monsoon,Fish,Pangasius,55
Bangladesh,Sumatra,East Gregory,6.4471,60.6375,Tropical,Summer,Crab,Dungeness Crab,59
India,Chonburi,Erinshire,14.2384,90.7035,Subtropical,Summer,Fish,Trout,92
Indonesia,Barisal,Natashafurt,29.4682,92.9495,Tropical,Summer,Fish,Salmon,47
Vietnam,Gujarat,Heidiville,5.6606,62.2498,Tropical,Summer,Fish,Carp,77
Thailand,Andhra Pradesh,East Stacy,26.6332,81.9866,Subtropical,Monsoon,Crab,Soft Shell Crab,53
Thailand,Trat,North Dawnmouth,-3.2035,76.761,Tropical,Monsoon,Prawn,Vannamei,55
Thailand,West Bengal,Walshstad,8.1888,63.1348,Tropical,Summer,Fish,Tilapia,61
Thailand,Tamil Nadu,New Phylliston,11.0414,78.2025,Tropical,Winter,Fish,Tuna,94
India,Ca Mau,Millermouth,2.9456,66.497,Subtropical,Winter,Prawn,King Prawn,98
Thailand,Kerala,Smithfurt,-8.451,71.8085,Tropical,Summer,Fish,Tilapia,71
Thailand,Trat,Edwardsbury,16.3152,86.2482,Tropical,Winter,Fish,Trout,80
Indonesia,Bihar,Hancockton,18.7742,77.784,Tropical,Summer,Fish,Rohu,91
India,Ca Mau,North Richardhaven,9.0171,70.8369,Subtropical,Monsoon,Prawn,King Prawn,74
India,Java,Millerfurt,5.607,91.8765,Tropical,Summer,Fish,Grouper,85
Thailand,Ca Mau,Lake Stephanieberg,-1.4965,99.1656,Tropical,Summer,Fish,Grouper,51
Indonesia,Sumatra,Port Brianahaven,-9.7933,74.954,Tropical,Winter,Prawn,Freshwater Prawn,56
India,Andhra Pradesh,Davisland,-3.3522,88.3734,Tropical,Summer,Prawn,Freshwater Prawn,57
Indonesia,Sulawesi,Port John,-7.1855,98.0743,Subtropical,Winter,Crab,King Crab,86
Vietnam,Rajshahi,East Richard,17.7754,75.3555,Subtropical,Monsoon,Fish,Rohu,61
Thailand,Sylhet,North Elizabethland,5.9289,69.8833,Tropical,Winter,Fish,Catfish,83
Vietnam,Chittagong,New Ricardo,3.3123,83.6328,Subtropical,Winter,Fish,Grouper,45
Indonesia,Nakorn Si Thammarat,Davismouth,25.2438,98.5261,Subtropical,Monsoon,Prawn,Whiteleg Shrimp,51
Indonesia,Kerala,Carolshire,28.9061,69.7512,Subtropical,Monsoon,Fish,Seabass,44
Vietnam,Tamil Nadu,Jacksonhaven,-8.169,77.0592,Tropical,Summer,Crab,King Crab,52
India,Khulna,Grimesville,-5.7644,72.2056,Tropical,Monsoon,Prawn,Vannamei,47
Indonesia,Surat Thani,South Jasmine,1.0327,96.3162,Tropical,Monsoon,Prawn,Vannamei,80
Indonesia,Gujarat,South Joshuastad,-1.1876,89.9375,Subtropical,Monsoon,Fish,Tilapia,83
India,Trat,Port Anitaton,29.0392,72.3594,Tropical,Winter,Fish,Snapper,55
Indonesia,Kalimantan,Tuckerfort,17.7932,86.997,Tropical,Winter,Fish,Tilapia,64
Thailand,Bihar,Lake Brandy,-9.4941,67.3447,Tropical,Summer,Fish,Catfish,94
India,Gujarat,New Christopherview,5.9844,68.1076,Subtropical,Summer,Fish,Pangasius,44
Thailand,Odisha,Kristinbury,21.5629,85.1458,Subtropical,Winter,Crab,Mud Crab,73
Vietnam,Tamil Nadu,Clayhaven,13.9943,66.2006,Subtropical,Winter,Fish,Barramundi,99
Thailand,Surat Thani,New Michaelborough,11.835,97.2665,Subtropical,Winter,Fish,Milkfish,62
Indonesia,Rajshahi,South Jennifer,6.6024,73.092,Tropical,Monsoon,Prawn,Black Tiger Shrimp,50
Thailand,Soc Trang,Wattsburgh,19.7079,81.7972,Subtropical,Winter,Prawn,Banana Prawn,71
Indonesia,Rajshahi,Timothychester,22.7308,66.1671,Subtropical,Summer,Prawn,Banana Prawn,54
Thailand,Andhra Pradesh,Lake Scottmouth,20.123,76.9146,Tropical,Winter,Prawn,King Prawn,49
Bangladesh,Sulawesi,Karenfort,-2.343,90.6271,Subtropical,Monsoon,Fish,Barramundi,96
Bangladesh,Barisal,Harrisfort,-8.8808,67.3239,Subtropical,Summer,Fish,Catfish,85
Bangladesh,Sylhet,Port Lance,-2.4853,68.9985,Subtropical,Monsoon,Fish,Milkfish,72
Indonesia,Trat,Lawsonville,14.6341,61.2818,Tropical,Monsoon,Fish,Barramundi,58
Thailand,Kerala,Jacksonland,14.5146,66.6033,Subtropical,Summer,Fish,Catfish,67
Vietnam,Rajshahi,Lake Javierhaven,-5.1102,95.7516,Subtropical,Monsoon,Fish,Catfish,67
Thailand,Nakorn Si Thammarat,South Jennifer,-8.5349,82.6277,Subtropical,Winter,Prawn,King Prawn,45
Vietnam,Bihar,East Sarah,-2.7304,66.0149,Tropical,Summer,Prawn,Freshwater Prawn,73
India,Mekong Delta,Martinezside,-6.6823,83.4888,Tropical,Summer,Prawn,Whiteleg Shrimp,89
Vietnam,Mekong Delta,Brewerland,27.3825,71.5173,Subtropical,Summer,Prawn,King Prawn,60
Thailand,Sulawesi,West Richard,17.2775,90.7333,Subtropical,Summer,Fish,Salmon,55
India,Ca Mau,Leeville,17.4819,97.7069,Subtropical,Monsoon,Crab,Blue Swimmer Crab,81
Bangladesh,Can Tho,Heidiland,25.4662,77.3462,Tropical,Summer,Prawn,Freshwater Prawn,61
Indonesia,Odisha,Cartermouth,25.0759,63.6448,Subtropical,Monsoon,Prawn,Black Tiger Shrimp,72
Thailand,Nakorn Si Thammarat,Kimberlyfurt,-2.4612,78.6412,Subtropical,Monsoon,Prawn,Banana Prawn,48
Vietnam,Kalimantan,Mayfurt,11.636,61.9151,Tropical,Winter,Prawn,Whiteleg Shrimp,54
Bangladesh,Barisal,Rodriguezstad,14.82,91.4962,Tropical,Monsoon,Fish,Grouper,99
Vietnam,Mekong Delta,New Mirandafurt,11.5082,93.6708,Subtropical,Summer,Prawn,Banana Prawn,99
Thailand,Rajshahi,Sellersburgh,-9.2183,84.9117,Subtropical,Winter,Fish,Grouper,96
Bangladesh,Sulawesi,Hillberg,-2.503,82.4365,Subtropical,Monsoon,Prawn,King Prawn,59
Thailand,Bihar,West Timmouth,2.1266,60.0648,Subtropical,Monsoon,Prawn,Vannamei,93
Vietnam,Andhra Pradesh,North Samanthaton,2.6728,68.437,Subtropical,Summer,Crab,Blue Swimmer Crab,70
Vietnam,West Bengal,Rebeccaville,13.3343,88.7136,Tropical,Summer,Fish,Catfish,80
Indonesia,Nakorn Si Thammarat,North Masonshire,20.6471,83.1317,Subtropical,Monsoon,Fish,Snapper,73
India,Tamil Nadu,Hernandezton,9.0754,62.5985,Subtropical,Summer,Fish,Seabass,55
India,Ca Mau,Leonshire,28.1127,71.0672,Subtropical,Winter,Prawn,Vannamei,88
Bangladesh,Odisha,North Rachel,-6.7427,72.7112,Tropical,Summer,Prawn,Freshwater Prawn,49
Thailand,Bac Lieu,Lake Stephanieberg,16.8751,79.2353,Tropical,Summer,Crab,Dungeness Crab,74
India,Surat Thani,Michelleton,26.0795,83.7489,Tropical,Summer,Prawn,Vannamei,90
Thailand,Andhra Pradesh,Yangshire,14.744,83.7698,Tropical,Summer,Fish,Trout,67
Bangladesh,Bihar,Petersonbury,28.8718,68.0824,Tropical,Summer,Fish,Milkfish,100
Vietnam,Mekong Delta,South Jill,29.7389,90.8658,Tropical,Monsoon,Fish,Pangasius,76
Indonesia,Kerala,West Ralphview,2.933,92.6275,Tropical,Monsoon,Prawn,King Prawn,93
Thailand,Java,East William,29.0432,62.8574,Subtropical,Monsoon,Prawn,Tiger Prawn,57
Vietnam,Andhra Pradesh,North Casey,18.827,68.0203,Tropical,Summer,Crab,Dungeness Crab,82
Bangladesh,Sumatra,Hardingchester,7.8847,81.9863,Subtropical,Winter,Fish,Grouper,60
India,Trat,Carrilloborough,16.1896,73.4009,Tropical,Monsoon,Fish,Snapper,85
Thailand,Bihar,New Todd,3.5783,95.2217,Subtropical,Summer,Fish,Tilapia,69
Bangladesh,Nakorn Si Thammarat,East Kellyhaven,-4.6264,76.7683,Tropical,Monsoon,Crab,Mud Crab,57
Thailand,Java,Port Karenmouth,18.0566,78.6662,Tropical,Winter,Prawn,Black Tiger Shrimp,45
Vietnam,Gujarat,South Michealmouth,8.3529,95.1394,Tropical,Winter,Prawn,Tiger Prawn,59
India,Andhra Pradesh,Danielleburgh,-5.6951,65.2249,Subtropical,Monsoon,Crab,Dungeness Crab,84
Vietnam,Rayong,Chungland,15.7951,67.2681,Tropical,Winter,Fish,Salmon,46
Indonesia,Sumatra,Michelleville,8.1455,81.2705,Subtropical,Summer,Prawn,Whiteleg Shrimp,53
Vietnam,Gujarat,Mcintyreville,22.2484,74.0788,Tropical,Winter,Fish,Trout,41
Thailand,Kalimantan,South Logan,11.5785,91.8132,Subtropical,Monsoon,Fish,Catfish,86
Indonesia,Bali,Port Dylanbury,-6.7737,83.8526,Tropical,Winter,Prawn,Banana Prawn,78
India,Sulawesi,West Pamela,20.13,85.5657,Subtropical,Winter,Crab,Soft Shell Crab,69
India,Odisha,New Mollybury,9.721,68.3246,Subtropical,Summer,Fish,Catfish,99
Thailand,Sylhet,Butlerview,6.5198,70.8018,Subtropical,Monsoon,Crab,Soft Shell Crab,96
Bangladesh,Sumatra,Port Alexanderland,1.1863,83.7762,Tropical,Winter,Crab,Dungeness Crab,90
Thailand,Khulna,Barnesfort,25.546,92.3376,Tropical,Monsoon,Fish,Barramundi,41
Bangladesh,Sumatra,Walkerhaven,12.2581,91.6007,Subtropical,Summer,Crab,Mud Crab,64
India,Chittagong,Colechester,12.8505,82.3099,Subtropical,Monsoon,Prawn,Freshwater Prawn,52
Indonesia,Odisha,Port Michaelport,22.0633,85.7428,Subtropical,Winter,Crab,Snow Crab,44
India,Can Tho,East Victoriaview,20.5381,68.1773,Subtropical,Summer,Fish,Grouper,63
India,Barisal,Suetown,10.2552,94.0897,Subtropical,Winter,Crab,King Crab,69
Vietnam,Surat Thani,Port Roberttown,4.6769,68.6269,Tropical,Winter,Crab,Mud Crab,71
Vietnam,Rajshahi,Hannahview,8.6567,92.6139,Subtropical,Winter,Fish,Grouper,42
Bangladesh,Mekong Delta,Torrestown,-7.3347,64.3234,Tropical,Winter,Fish,Tilapia,52
Indonesia,Bali,Colefurt,-2.8119,68.6509,Subtropical,Summer,Prawn,Whiteleg Shrimp,58
Thailand,Ca Mau,Lake Jenniferside,9.7867,61.1389,Subtropical,Winter,Fish,Grouper,56
Vietnam,Nakorn Si Thammarat,South Andrew,22.5348,95.287,Subtropical,Monsoon,Prawn,Freshwater Prawn,77
Vietnam,Andhra Pradesh,Kevinshire,10.3432,96.4484,Subtropical,Monsoon,Fish,Salmon,93
Indonesia,Soc Trang,Lucastown,20.1507,91.2958,Tropical,Summer,Crab,Mud Crab,79
Bangladesh,Khulna,Millerstad,16.7813,67.3335,Tropical,Monsoon,Prawn,Freshwater Prawn,47
Indonesia,Mekong Delta,Lake Ericshire,-1.9768,63.4951,Subtropical,Summer,Fish,Pangasius,47
Vietnam,Tamil Nadu,Jonesbury,25.5662,61.669,Subtropical,Monsoon,Fish,Trout,63
Indonesia,Trat,Hollychester,-0.1584,86.658,Tropical,Summer,Fish,Snapper,57
Bangladesh,Can Tho,West Jeremy,19.5157,74.3767,Tropical,Summer,Crab,Blue Swimmer Crab,99
Vietnam,Kerala,East Michaelmouth,24.9357,89.4574,Subtropical,Winter,Prawn,Whiteleg Shrimp,51
Thailand,Java,Doughertystad,27.8499,90.2605,Tropical,Monsoon,Fish,Pangasius,89
Vietnam,Kalimantan,Powellborough,-6.56,61.5953,Subtropical,Summer,Fish,Milkfish,89
India,Tamil Nadu,West Joshua,-4.8801,77.3334,Subtropical,Summer,Prawn,Vannamei,74
Indonesia,Bali,South Crystal,17.3891,71.6521,Subtropical,Winter,Fish,Carp,98
India,Tamil Nadu,Brownside,14.4279,97.0312,Subtropical,Winter,Fish,Catfish,60
Indonesia,Bac Lieu,Jacquelinemouth,10.9267,65.5975,Tropical,Monsoon,Fish,Tuna,95
Bangladesh,Bali,East Paul,24.2993,66.4191,Subtropical,Winter,Crab,Soft Shell Crab,54
Indonesia,Kalimantan,Lake Daniel,1.0845,93.9623,Tropical,Monsoon,Fish,Tuna,58
Thailand,Rayong,East Amandastad,-9.2331,95.3014,Tropical,Monsoon,Fish,Pangasius,92
Vietnam,Nakorn Si Thammarat,Port Zachary,0.2592,91.4174,Subtropical,Monsoon,Fish,Trout,58
India,Tamil Nadu,Carlosmouth,25.0366,84.4655,Tropical,Summer,Prawn,Tiger Prawn,80
Thailand,Trat,West Reneeview,6.3073,97.7184,Subtropical,Summer,Fish,Seabass,48
Thailand,Sulawesi,Port Steven,4.1267,78.5362,Subtropical,Summer,Fish,Carp,86
Thailand,Soc Trang,Tonyfurt,17.249,99.9319,Tropical,Winter,Fish,Rohu,42
Vietnam,Kerala,Lake James,-8.8544,98.6389,Subtropical,Monsoon,Fish,Milkfish,68
India,Kalimantan,Lake Denise,13.7751,98.4904,Tropical,Summer,Fish,Barramundi,97
India,Bac Lieu,Watsonland,-2.1228,61.3088,Tropical,Monsoon,Prawn,Banana Prawn,60
Thailand,Barisal,Robertsonshire,13.0447,71.4798,Tropical,Monsoon,Crab,King Crab,50
Bangladesh,Mekong Delta,New Courtney,-5.5441,83.2665,Subtropical,Monsoon,Fish,Rohu,83
