Species,Age_Days,Water_Temp,DO,Feed_Type,Protein,Feed_Quantity
Seabass,138,23.0,5.2,Sinking,28,47.4
Trout,42,25.8,7.2,Sinking,37,26.33
Freshwater Prawn,147,22.0,6.7,Sinking,32,43.6
Whiteleg Shrimp,108,30.5,5.8,Sinking,30,14.56
Rohu,20,21.1,4.8,Pellet,31,21.33
Barramundi,127,26.7,7.0,Pellet,39,2.04
Trout,62,27.9,6.2,Floating,41,40.15
Seabass,146,28.2,4.5,Sinking,36,11.14
Freshwater Prawn,133,20.7,5.4,Pellet,29,40.8
Tuna,26,20.2,4.3,Floating,38,4.56
Freshwater Prawn,77,21.8,7.1,Sinking,41,40.01
Snapper,145,24.2,4.3,Pellet,41,9.87
Soft Shell Crab,105,20.1,4.8,Floating,35,42.31
Milkfish,111,25.1,4.5,Pellet,45,42.8
Catfish,86,31.2,6.7,Pellet,42,8.97
Dungeness Crab,147,27.2,5.7,Pellet,31,20.24
Black Tiger Shrimp,141,25.7,6.6,Sinking,39,15.71
Soft Shell Crab,47,25.2,7.3,Sinking,29,13.41
King Crab,68,24.0,7.8,Sinking,31,23.64
Trout,144,28.3,5.8,Sinking,43,6.94
Blue Swimmer Crab,72,28.8,5.3,Sinking,42,39.08
King Crab,20,28.9,6.1,Sinking,42,21.32
Snow Crab,110,25.3,4.3,Pellet,42,20.3
Soft Shell Crab,71,31.7,5.4,Floating,32,39.92
King Prawn,72,23.9,7.9,Pellet,33,5.12
King Crab,119,21.5,5.2,Floating,34,42.23
Barramundi,110,24.2,4.1,Pellet,44,22.29
Soft Shell Crab,29,29.1,4.5,Sinking,28,37.76
Mud Crab,103,24.8,6.1,Floating,30,11.36
Banana Prawn,30,29.3,7.3,Floating,34,45.73
Catfish,26,28.0,4.4,Sinking,43,26.24
Tilapia,58,23.6,6.2,Pellet,28,36.22
Pangasius,102,28.3,6.9,Pellet,41,18.65
Rohu,31,30.1,4.7,Pellet,28,19.14
Seabass,28,25.2,7.3,Floating,38,14.3
Dungeness Crab,57,23.3,5.0,Pellet,42,10.02
Banana Prawn,61,23.1,7.0,Floating,30,35.33
King Crab,122,29.4,7.1,Sinking,34,25.31
Barramundi,10,23.4,4.2,Floating,29,47.26
Freshwater Prawn,113,29.4,6.2,Pellet,42,35.11
Vannamei,21,29.6,5.3,Floating,42,32.0
Snow Crab,144,24.2,7.9,Floating,37,22.36
Snapper,112,26.4,7.7,Floating,32,17.47
Carp,140,24.6,4.7,Floating,30,16.13
King Crab,66,20.4,7.4,Sinking,31,40.86
Snapper,18,24.5,6.5,Pellet,43,15.79
Snapper,106,30.2,5.2,Floating,34,13.56
King Prawn,35,30.5,5.1,Pellet,44,8.58
Cod,57,29.1,5.8,Sinking,37,26.06
Grouper,58,28.2,6.4,Sinking,37,2.37
Catfish,84,23.9,7.8,Pellet,45,15.04
Seabass,43,26.7,4.3,Pellet,42,47.06
Banana Prawn,34,20.1,5.7,Floating,33,41.42
Black Tiger Shrimp,89,22.1,6.2,Sinking,41,44.08
Banana Prawn,101,20.0,5.7,Floating,44,8.13
Cod,55,22.3,7.4,Sinking,38,17.34
Salmon,131,29.1,4.3,Sinking,38,45.46
Tuna,105,25.4,6.4,Floating,32,25.69
Blue Swimmer Crab,30,20.8,6.8,Floating,33,20.08
Pangasius,131,28.0,6.4,Sinking,38,18.23
Pangasius,33,22.1,7.9,Floating,44,43.15
Milkfish,70,21.4,5.5,Sinking,31,23.69
King Prawn,68,23.9,5.4,Pellet,44,42.28
Snow Crab,122,28.9,7.6,Pellet,42,48.54
Pangasius,17,29.7,6.6,Sinking,41,31.14
Black Tiger Shrimp,55,24.9,4.5,Floating,43,42.14
Salmon,57,28.8,4.0,Pellet,36,7.24
Dungeness Crab,149,25.2,5.0,Floating,38,49.41
Mud Crab,29,29.9,6.8,Sinking,29,39.82
King Prawn,77,30.2,4.7,Sinking,34,6.28
Salmon,44,24.8,7.4,Sinking,36,1.82
Milkfish,103,20.2,7.0,Pellet,36,1.78
Blue Swimmer Crab,24,30.7,6.9,Sinking,37,10.93
Black Tiger Shrimp,146,24.1,7.3,Pellet,38,31.29
Soft Shell Crab,122,21.8,7.2,Floating,32,18.78
Snow Crab,98,22.3,6.0,Sinking,33,35.61
Tilapia,113,27.1,5.9,Sinking,31,8.54
King Crab,19,21.9,6.4,Pellet,32,13.14
Salmon,79,22.2,6.1,Pellet,29,48.88
Blue Swimmer Crab,99,29.0,4.0,Floating,44,16.36
Carp,140,30.9,7.5,Pellet,43,46.71
Snapper,80,31.9,6.6,Sinking,29,20.51
Banana Prawn,129,28.4,5.1,Sinking,40,18.83
Seabass,73,21.3,4.1,Floating,35,33.62
Vannamei,138,23.7,6.0,Sinking,43,46.07
Salmon,142,30.5,6.4,Pellet,33,35.92
Mud Crab,130,22.3,7.4,Floating,39,4.26
Carp,109,26.6,5.8,Sinking,42,38.05
Mud Crab,42,20.3,6.3,Floating,32,45.68
Carp,63,24.8,5.0,Pellet,30,5.88
Mud Crab,10,30.0,6.5,Pellet,36,15.34
King Prawn,137,30.2,6.7,Sinking,36,46.58
Catfish,63,30.7,5.2,Floating,39,30.79
Snow Crab,107,21.0,7.7,Pellet,32,17.77
Soft Shell Crab,82,28.0,7.8,Sinking,44,49.43
Banana Prawn,75,26.2,4.9,Floating,43,29.85
Catfish,105,26.6,7.3,Pellet,32,48.67
Freshwater Prawn,43,29.5,6.7,Sinking,32,4.38
King Prawn,10,30.3,4.8,Sinking,36,10.12
Pangasius,122,21.4,5.7,Floating,43,6.79
Tilapia,48,25.6,5.8,Floating,37,6.4
Seabass,75,26.7,7.0,Sinking,35,45.15
Freshwater Prawn,14,26.7,6.3,Sinking,40,30.68
Banana Prawn,107,27.8,4.9,Sinking,42,23.26
Milkfish,107,23.8,4.3,Floating,28,39.91
King Prawn,55,20.5,4.7,Floating,31,19.93
Snow Crab,135,24.8,7.0,Floating,41,25.5
Black Tiger Shrimp,40,21.8,7.9,Sinking,45,43.66
Tilapia,143,29.7,4.7,Floating,33,2.06
Snapper,109,31.8,7.6,Floating,34,25.7
Tiger Prawn,140,31.2,7.6,Floating,35,6.71
Milkfish,105,30.8,5.4,Pellet,34,25.08
Tilapia,98,31.7,6.5,Floating,39,18.05
Banana Prawn,73,22.3,4.3,Sinking,39,15.91
Carp,118,27.7,5.4,Pellet,37,27.93
Dungeness Crab,101,24.6,5.4,Pellet,30,40.12
Black Tiger Shrimp,79,30.0,6.3,Floating,35,28.91
Pangasius,77,25.2,5.1,Floating,38,49.52
Grouper,73,21.3,6.2,Floating,42,43.31
Snapper,49,21.5,4.7,Pellet,32,4.39
Barramundi,88,21.7,5.5,Pellet,39,20.2
Mud Crab,104,22.3,5.3,Pellet,34,29.78
King Crab,45,20.7,6.9,Floating,31,18.96
Salmon,59,23.0,4.2,Sinking,36,8.38
Freshwater Prawn,35,20.8,4.5,Floating,40,36.62
Carp,116,30.2,4.8,Sinking,30,25.75
Milkfish,84,24.0,4.1,Pellet,42,7.59
Cod,94,24.2,7.9,Floating,36,15.49
Rohu,37,29.7,5.3,Sinking,45,23.57
Freshwater Prawn,127,30.9,6.6,Pellet,35,41.82
Snow Crab,64,30.4,4.9,Sinking,45,20.22
Seabass,112,28.6,7.4,Pellet,42,10.45
Freshwater Prawn,127,20.8,4.9,Pellet,35,12.78
Salmon,95,25.5,4.8,Floating,34,8.67
Salmon,140,20.8,6.4,Sinking,40,11.48
Barramundi,44,25.7,5.3,Pellet,38,16.33
Pangasius,94,22.8,6.4,Pellet,29,43.03
Tuna,122,25.1,7.3,Pellet,44,30.73
Rohu,59,28.8,6.4,Sinking,39,26.87
Cod,125,28.8,7.7,Pellet,29,32.03
Black Tiger Shrimp,93,31.3,5.1,Pellet,32,42.31
Tuna,45,21.8,6.2,Sinking,42,21.92
Soft Shell Crab,135,26.7,7.2,Sinking,40,2.54
Blue Swimmer Crab,116,24.3,6.9,Floating,30,19.96
King Crab,54,21.6,6.6,Floating,28,10.18
Banana Prawn,123,26.8,6.2,Sinking,36,43.73
Seabass,84,27.8,4.5,Pellet,40,35.05
Salmon,117,30.1,5.5,Pellet,40,9.53
Barramundi,24,31.9,5.2,Sinking,43,28.55
Whiteleg Shrimp,67,21.9,4.1,Floating,39,4.57
Tilapia,50,22.5,7.2,Pellet,41,8.62
Barramundi,78,21.1,7.0,Sinking,33,39.34
Freshwater Prawn,19,20.7,4.2,Floating,38,23.49
Barramundi,36,24.1,4.2,Sinking,43,28.72
Salmon,77,26.0,4.9,Pellet,44,13.73
Freshwater Prawn,71,30.0,7.0,Floating,29,8.6
Dungeness Crab,133,32.0,5.0,Sinking,42,15.72
Pangasius,29,30.0,5.8,Pellet,29,11.12
Mud Crab,16,30.0,4.3,Sinking,31,14.68
Salmon,93,21.9,6.9,Pellet,33,19.35
Blue Swimmer Crab,79,24.2,6.7,Pellet,34,24.17
Vannamei,131,29.7,5.6,Pellet,32,40.99
Milkfish,59,30.6,7.5,Floating,40,42.47
Salmon,49,30.7,5.5,Sinking,34,30.91
Black Tiger Shrimp,136,31.5,7.9,Pellet,30,1.92
Tiger Prawn,16,28.0,6.1,Floating,29,25.54
Tiger Prawn,76,30.2,7.9,Floating,35,14.35
Carp,61,22.1,5.2,Floating,35,33.78
Carp,146,25.9,5.7,Pellet,35,7.52
Tilapia,13,20.1,4.5,Sinking,39,4.05
King Crab,78,31.0,7.3,Pellet,36,15.87
Seabass,24,30.5,4.0,Pellet,31,15.15
Tuna,49,29.2,5.6,Pellet,37,46.22
Tiger Prawn,146,27.4,5.2,Sinking,32,41.71
Barramundi,32,21.9,6.1,Floating,39,30.53
Trout,139,21.4,7.2,Pellet,45,22.11
Seabass,49,21.7,7.7,Sinking,44,37.15
Mud Crab,108,31.1,5.7,Pellet,34,19.54
Soft Shell Crab,54,25.9,4.2,Pellet,42,45.86
Cod,37,21.9,4.3,Pellet,33,39.3
Black Tiger Shrimp,109,20.9,6.0,Pellet,32,17.18
Barramundi,67,25.6,6.1,Sinking,29,38.06
Trout,10,29.1,5.6,Sinking,38,32.2
Carp,75,21.8,5.9,Floating,33,8.46
Tiger Prawn,114,29.3,5.8,Floating,38,23.45
Whiteleg Shrimp,67,20.3,4.0,Sinking,29,23.78
Freshwater Prawn,100,23.6,5.3,Floating,37,49.81
Barramundi,133,23.6,6.1,Pellet,30,18.25
Dungeness Crab,120,27.5,7.5,Floating,38,35.65
Snow Crab,32,21.2,6.7,Pellet,30,10.31
Pangasius,117,27.8,6.1,Floating,44,37.72
Mud Crab,31,22.1,4.4,Floating,31,41.21
King Crab,117,30.2,4.9,Sinking,44,29.96
Tuna,29,31.2,7.3,Pellet,28,8.95
Tiger Prawn,71,28.4,6.5,Pellet,39,6.07
Rohu,47,29.3,5.2,Sinking,40,1.98
Barramundi,77,28.5,8.0,Pellet,31,22.2
Trout,104,23.2,6.0,Floating,37,20.75
Barramundi,106,28.3,5.0,Sinking,31,43.33
Snow Crab,69,22.3,7.8,Sinking,45,13.27
Cod,59,22.9,7.1,Pellet,44,5.5
Tiger Prawn,43,24.2,7.4,Pellet,30,27.12
Dungeness Crab,30,27.3,4.6,Floating,40,22.12
Soft Shell Crab,81,24.8,4.2,Sinking,38,38.13
Catfish,51,23.1,6.2,Sinking,30,43.02
King Crab,12,22.2,4.3,Pellet,45,34.62
Vannamei,132,21.0,6.2,Sinking,40,5.13
Seabass,60,20.9,5.3,Pellet,36,39.14
Milkfish,10,23.0,6.3,Floating,29,40.07
Grouper,51,20.9,4.5,Sinking,38,24.27
King Prawn,111,22.9,6.8,Floating,39,47.17
Milkfish,38,29.9,4.7,Sinking,42,45.46
Vannamei,148,25.8,6.3,Floating,41,49.31
Whiteleg Shrimp,48,24.2,6.9,Sinking,33,7.17
Freshwater Prawn,90,27.3,4.5,Floating,44,2.41
Tiger Prawn,85,23.3,5.5,Floating,35,36.95
Tiger Prawn,131,27.6,6.2,Sinking,30,34.75
Vannamei,85,22.3,4.7,Pellet,32,34.15
Tuna,90,27.8,7.9,Floating,34,33.91
Trout,26,25.7,4.7,Floating,39,11.5
Whiteleg Shrimp,31,25.1,4.1,Floating,43,47.02
Freshwater Prawn,109,24.3,4.6,Floating,36,47.55
Tilapia,48,20.9,5.5,Pellet,37,14.16
Vannamei,68,22.4,4.7,Pellet,33,6.57
Dungeness Crab,104,21.3,5.0,Pellet,28,27.91
Barramundi,71,20.7,6.6,Floating,33,11.1
Snow Crab,35,28.0,7.1,Pellet,32,29.76
King Crab,80,27.5,6.7,Sinking,31,13.12
Barramundi,149,27.7,4.5,Sinking,30,49.5
Blue Swimmer Crab,58,27.1,7.2,Floating,28,13.19
Pangasius,89,31.9,6.6,Floating,38,23.38
Snow Crab,121,23.4,6.7,Pellet,43,13.26
Soft Shell Crab,59,30.4,6.1,Sinking,39,32.35
Snapper,68,28.7,5.8,Floating,43,11.41
Tuna,73,28.7,4.2,Floating,40,33.06
Trout,80,31.9,5.0,Floating,43,37.94
Whiteleg Shrimp,140,20.7,6.3,Sinking,33,28.86
Salmon,86,20.2,6.7,Sinking,33,15.43
Black Tiger Shrimp,63,25.6,4.5,Sinking,36,7.89
Vannamei,22,26.0,7.1,Sinking,35,12.34
Tilapia,63,23.7,6.2,Floating,44,46.22
Carp,62,21.3,7.2,Sinking,32,9.75
Banana Prawn,132,20.9,5.2,Sinking,43,37.82
Pangasius,133,22.6,6.3,Pellet,38,36.07
Banana Prawn,34,20.2,7.3,Floating,45,6.25
Dungeness Crab,20,21.8,7.1,Floating,38,4.85
Soft Shell Crab,99,28.0,6.5,Pellet,41,20.94
Barramundi,141,27.3,7.9,Pellet,44,10.26
Tilapia,64,20.5,7.7,Sinking,35,10.03
Snow Crab,53,27.5,4.6,Sinking,40,5.13
Soft Shell Crab,33,28.8,5.9,Sinking,37,36.09
Vannamei,41,27.1,4.4,Sinking,36,1.44
Banana Prawn,77,29.4,7.1,Pellet,32,44.41
Carp,51,21.3,5.8,Pellet,29,32.34
Tilapia,132,21.3,7.5,Sinking,41,10.04
Grouper,59,23.3,6.9,Sinking,31,46.44
Grouper,135,26.2,7.7,Sinking,41,23.77
Soft Shell Crab,102,30.1,6.3,Floating,29,43.15
Cod,98,30.7,5.3,Pellet,31,16.22
Blue Swimmer Crab,141,24.9,6.9,Sinking,28,16.39
Milkfish,13,24.0,5.7,Pellet,39,40.65
King Crab,123,23.9,5.5,Sinking,35,18.95
Freshwater Prawn,19,27.2,7.6,Pellet,41,37.0
Tiger Prawn,62,30.0,5.2,Floating,35,20.71
Seabass,14,29.8,6.5,Sinking,29,35.18
Black Tiger Shrimp,65,20.1,7.8,Floating,38,1.93
Salmon,59,25.2,7.2,Floating,31,1.51
Trout,115,26.7,5.3,Pellet,38,25.2
Rohu,92,27.8,4.1,Sinking,38,24.53
Carp,55,27.4,7.6,Pellet,32,45.4
Snapper,84,29.8,7.4,Pellet,32,48.24
Freshwater Prawn,20,23.4,7.4,Floating,29,1.02
Black Tiger Shrimp,34,23.0,6.5,Floating,45,25.19
Tiger Prawn,136,24.6,7.6,Sinking,35,48.66
Catfish,24,28.4,5.4,Sinking,33,20.01
Seabass,25,30.5,4.2,Floating,44,36.86
Pangasius,58,27.1,4.7,Floating,45,3.44
Seabass,61,22.2,6.4,Sinking,34,45.13
Salmon,31,29.9,5.3,Floating,40,2.92
Banana Prawn,83,29.9,6.5,Sinking,31,20.11
King Crab,50,22.3,6.9,Floating,34,13.55
Snapper,80,27.5,4.7,Sinking,43,36.22
Snow Crab,60,24.3,5.8,Sinking,41,6.35
Grouper,14,22.4,4.5,Floating,35,4.25
Black Tiger Shrimp,136,23.6,4.0,Pellet,29,27.78
Snapper,35,27.2,6.9,Pellet,40,43.87
Seabass,32,23.1,6.8,Pellet,29,26.38
Snow Crab,79,31.8,7.6,Pellet,28,2.28
Pangasius,101,28.9,6.7,Sinking,30,11.62
Cod,75,30.5,4.1,Floating,30,14.97
Cod,136,25.7,4.2,Floating,30,29.18
Soft Shell Crab,41,20.1,4.7,Sinking,28,38.24
Tilapia,65,22.4,4.6,Floating,39,24.48
Snapper,137,21.6,7.8,Pellet,39,7.79
Rohu,112,27.3,5.4,Pellet,34,18.57
Milkfish,57,21.7,4.3,Pellet,29,20.76
Barramundi,71,22.7,4.1,Floating,38,26.64
Salmon,127,24.2,6.1,Pellet,42,11.42
Banana Prawn,98,22.9,4.5,Floating,42,35.87
Catfish,15,28.1,4.4,Pellet,31,16.18
Milkfish,106,25.4,4.8,Floating,32,48.54
Rohu,27,27.2,6.8,Floating,33,8.73
Grouper,35,30.4,7.0,Floating,34,17.69
Tilapia,121,21.0,6.6,Pellet,31,49.65
Grouper,66,26.6,5.4,Sinking,41,24.5
Snow Crab,39,28.0,6.2,Sinking,42,43.11
Black Tiger Shrimp,75,27.4,4.6,Floating,37,32.09
Snapper,102,29.2,7.2,Floating,29,24.01
Snapper,85,30.1,7.3,Sinking,45,21.84
Barramundi,14,23.4,5.7,Sinking,45,18.63
King Prawn,139,29.9,6.9,Sinking,40,6.19
Grouper,19,30.4,6.3,Floating,32,42.36
Rohu,110,21.0,4.5,Pellet,33,31.23
Soft Shell Crab,56,26.8,7.2,Floating,32,49.84
Soft Shell Crab,142,27.7,6.5,Pellet,34,30.43
Snow Crab,128,20.7,6.0,Pellet,29,26.37
Tuna,70,21.7,7.8,Floating,41,12.46
Banana Prawn,29,28.2,4.3,Sinking,39,37.99
Tuna,95,28.7,7.8,Sinking,42,13.79
Milkfish,47,30.3,4.9,Floating,36,23.88
Mud Crab,37,30.5,6.1,Sinking,36,46.04
King Crab,129,23.9,7.0,Pellet,41,13.04
Seabass,138,23.3,6.2,Sinking,41,11.81
Tilapia,113,29.5,6.1,Floating,37,4.29
Mud Crab,113,26.2,5.3,Pellet,28,14.3
Catfish,150,28.3,5.9,Pellet,41,9.24
Seabass,72,24.2,6.6,Sinking,29,30.87
Cod,74,20.3,4.8,Pellet,39,9.41
Carp,110,26.9,5.1,Floating,39,19.75
Snow Crab,52,22.8,7.8,Pellet,32,47.3
Mud Crab,145,21.3,7.7,Sinking,43,21.9
Vannamei,71,21.6,7.5,Pellet,42,49.76
Vannamei,147,23.8,7.6,Sinking,41,14.09
Barramundi,28,28.8,6.5,Sinking,42,3.51
Freshwater Prawn,92,20.5,5.2,Floating,39,37.03
Pangasius,111,26.2,6.7,Sinking,44,48.52
Milkfish,56,22.6,6.1,Sinking,32,40.49
Grouper,67,27.6,4.4,Sinking,32,34.38
King Crab,52,29.2,4.1,Floating,40,27.57
Blue Swimmer Crab,110,31.3,7.4,Sinking,41,44.65
Dungeness Crab,90,24.7,6.5,Sinking,30,43.94
Dungeness Crab,35,28.2,7.2,Floating,35,14.81
Carp,21,22.7,6.1,Pellet,29,47.35
Snapper,26,21.3,7.5,Floating,30,34.87
Cod,137,28.0,8.0,Sinking,36,23.42
Barramundi,150,22.1,7.3,Pellet,33,18.03
Tilapia,132,29.8,6.8,Floating,45,38.12
Freshwater Prawn,128,28.0,6.5,Sinking,42,26.48
Pangasius,148,27.6,4.8,Floating,43,49.07
Trout,66,23.4,5.7,Sinking,37,29.5
Cod,58,28.6,5.2,Pellet,29,16.77
Black Tiger Shrimp,128,24.9,4.1,Floating,36,14.59
Soft Shell Crab,38,29.1,7.4,Pellet,36,39.27
Black Tiger Shrimp,101,29.9,7.8,Pellet,39,48.49
King Crab,18,30.4,6.9,Sinking,45,28.6
Snapper,97,25.3,4.7,Floating,38,17.23
Banana Prawn,36,24.2,8.0,Floating,36,26.11
Whiteleg Shrimp,150,29.1,5.4,Floating,38,8.21
Snapper,114,25.7,6.8,Sinking,45,46.27
Rohu,41,21.6,6.1,Pellet,41,40.34
Vannamei,79,28.5,6.0,Pellet,35,40.42
Black Tiger Shrimp,24,22.4,7.0,Sinking,36,9.8
Tuna,104,25.9,7.1,Pellet,43,6.62
Whiteleg Shrimp,57,22.3,5.7,Sinking,29,3.84
Cod,64,31.2,4.1,Floating,32,35.86
Snow Crab,147,20.8,7.7,Sinking,30,13.76
Carp,150,27.5,4.3,Floating,28,34.26
King Prawn,61,29.9,5.7,Floating,43,6.1
Blue Swimmer Crab,60,25.2,6.3,Pellet,41,30.76
Pangasius,142,30.5,6.9,Sinking,42,46.34
Blue Swimmer Crab,86,28.4,7.6,Floating,35,9.54
Snow Crab,19,27.5,4.8,Floating,30,22.9
Banana Prawn,108,20.9,7.9,Sinking,40,37.93
Rohu,64,24.0,4.3,Pellet,38,7.32
Banana Prawn,25,31.7,5.0,Sinking,30,42.54
Cod,94,23.0,5.5,Sinking,35,17.87
Vannamei,126,24.6,4.3,Floating,33,29.33
Catfish,135,28.8,5.2,Floating,33,45.55
Seabass,138,31.2,5.5,Sinking,29,7.45
Tilapia,129,20.5,6.0,Sinking,42,18.04
Trout,140,31.5,7.9,Sinking,34,49.77
Vannamei,40,26.6,7.9,Pellet,30,38.43
Blue Swimmer Crab,21,25.3,7.1,Pellet,28,12.76
Barramundi,79,26.2,7.0,Pellet,29,10.26
Catfish,66,31.1,7.7,Sinking,28,15.38
Soft Shell Crab,133,29.4,5.2,Pellet,45,33.79
Carp,84,22.5,7.5,Pellet,33,14.2
Soft Shell Crab,122,20.0,4.7,Floating,41,2.75
Milkfish,130,25.7,4.5,Pellet,42,34.52
Trout,150,27.9,4.5,Sinking,40,48.58
Tiger Prawn,102,31.2,6.1,Floating,38,47.93
Dungeness Crab,54,20.5,7.3,Floating,32,37.66
Pangasius,90,25.0,5.4,Pellet,41,15.52
Salmon,54,27.2,7.9,Floating,28,19.11
Rohu,59,31.6,6.3,Sinking,36,1.89
Carp,35,20.5,7.3,Floating,44,5.68
Mud Crab,27,25.0,6.1,Pellet,39,17.04
Snow Crab,78,24.6,7.3,Pellet,42,8.27
Catfish,117,30.3,6.0,Sinking,44,43.71
Freshwater Prawn,116,31.7,7.6,Pellet,36,35.72
Dungeness Crab,121,22.8,7.8,Pellet,34,43.85
Soft Shell Crab,15,31.0,6.0,Floating,35,17.24
Freshwater Prawn,86,23.2,7.9,Pellet,33,25.18
Grouper,60,25.2,5.6,Sinking,28,2.82
Catfish,71,24.3,4.6,Sinking,35,7.64
Freshwater Prawn,63,22.4,7.9,Pellet,40,30.97
Carp,26,25.0,7.5,Sinking,43,18.53
Catfish,15,31.0,5.2,Sinking,31,24.81
Milkfish,26,29.6,7.7,Floating,35,38.63
Seabass,41,24.2,4.8,Sinking,36,10.85
Trout,57,21.9,5.4,Sinking,41,42.83
Mud Crab,99,24.5,7.9,Pellet,39,39.17
Snow Crab,103,25.3,5.9,Pellet,33,14.87
Tilapia,20,29.7,7.0,Floating,45,49.48
Black Tiger Shrimp,145,26.9,7.8,Sinking,37,44.85
Banana Prawn,19,20.0,5.1,Pellet,39,1.42
Milkfish,146,27.0,5.8,Floating,41,37.71
Milkfish,139,24.5,5.2,Sinking,31,17.17
Mud Crab,138,27.6,5.2,Pellet,31,32.9
Whiteleg Shrimp,87,29.4,7.5,Sinking,45,22.95
Seabass,20,24.1,7.1,Sinking,30,4.69
