Target_Country,Species,Required_Quantity,Quality_Grade,Price_Offered
China,Rohu,29,C,271809.17
China,Snapper,28,B,98821.69
USA,Cod,44,C,145214.04
EU,Whiteleg Shrimp,42,C,384642.94
India,Cod,33,B,186283.27
Japan,Cod,44,B,491189.79
Japan,Soft Shell Crab,39,C,177018.59
India,Milkfish,33,C,37570.62
Japan,Pangasius,26,C,192916.36
Japan,Tiger Prawn,25,C,406361.95
India,Blue Swimmer Crab,48,B,382667.76
USA,Soft Shell Crab,6,A,496483.27
China,Dungeness Crab,27,C,387258.99
Japan,Tilapia,32,A,64413.98
Japan,Banana Prawn,33,C,350963.45
USA,Whiteleg Shrimp,44,A,308976.97
China,Freshwater Prawn,1,A,463304.56
USA,Mud Crab,30,A,320805.06
Japan,Snow Crab,49,A,393720.64
USA,Whiteleg Shrimp,45,C,458718.44
EU,Whiteleg Shrimp,44,C,248187.07
USA,Snapper,8,A,241298.37
EU,Milkfish,26,A,175322.52
USA,Snow Crab,15,C,16125.31
USA,Snow Crab,43,A,219283.46
India,Tuna,38,A,73888.56
EU,Cod,16,A,109121.62
USA,Rohu,4,C,139352.02
EU,Trout,27,A,381675.59
India,Tiger Prawn,9,C,161351.33
EU,Mud Crab,12,B,318344.14
EU,Banana Prawn,4,B,257573.27
Japan,Snow Crab,7,A,155734.36
Japan,Tiger Prawn,21,A,310753.03
India,Soft Shell Crab,2,C,171036.53
India,Catfish,5,B,393325.0
Japan,Whiteleg Shrimp,42,B,44073.42
Japan,Grouper,45,C,192540.1
EU,Soft Shell Crab,31,B,361803.13
Japan,Rohu,33,A,170683.11
USA,Pangasius,4,C,176530.73
EU,Freshwater Prawn,41,B,244816.91
India,Tiger Prawn,44,B,358073.95
EU,Vannamei,24,C,90056.66
EU,Blue Swimmer Crab,37,C,103391.02
India,Tuna,27,B,325676.0
USA,Tuna,39,C,205644.09
EU,Milkfish,8,C,418905.79
China,Pangasius,17,A,170510.61
EU,Blue Swimmer Crab,8,A,290578.65
China,Milkfish,28,B,429169.29
EU,Soft Shell Crab,25,C,11585.57
USA,Cod,36,C,304804.53
EU,Tuna,33,B,407216.44
USA,Cod,33,C,108960.57
EU,King Crab,8,B,372964.74
China,Snow Crab,42,C,42492.46
EU,King Prawn,24,C,174354.06
EU,Seabass,17,A,106480.97
EU,Tilapia,46,B,47506.17
EU,Pangasius,6,A,189901.23
India,Seabass,14,C,314358.89
USA,Blue Swimmer Crab,6,A,248541.07
Japan,Snapper,37,A,434431.02
China,Tuna,46,C,273065.53
Japan,Milkfish,39,A,465618.74
EU,Carp,14,C,247251.86
China,Freshwater Prawn,42,A,27383.25
India,King Crab,38,A,381832.98
USA,Banana Prawn,8,A,309221.51
USA,Rohu,10,B,297404.31
EU,Black Tiger Shrimp,49,A,41294.28
EU,Banana Prawn,35,C,405418.82
China,Seabass,17,B,309461.47
China,Black Tiger Shrimp,34,C,132045.52
Japan,Soft Shell Crab,19,B,394308.64
USA,Freshwater Prawn,4,A,338891.32
China,Tilapia,9,B,159850.98
China,Rohu,6,B,435496.97
USA,Tuna,10,A,45283.48
China,Rohu,39,A,28003.22
China,King Prawn,30,B,480415.57
India,Pangasius,20,B,91612.66
India,Vannamei,19,A,356444.09
China,Snow Crab,17,C,434277.72
India,Snow Crab,17,B,152822.02
China,King Crab,39,B,173730.47
EU,King Prawn,35,C,441735.65
Japan,Barramundi,42,A,384013.08
China,Black Tiger Shrimp,45,B,487399.37
Japan,Soft Shell Crab,14,A,99142.32
USA,Salmon,43,C,77884.71
India,Seabass,43,B,113824.26
USA,Trout,3,C,197331.13
EU,Snow Crab,24,C,277559.23
China,Mud Crab,34,C,60655.18
India,Grouper,46,C,480342.55
EU,Catfish,8,A,71110.31
EU,Catfish,19,B,468815.05
China,Freshwater Prawn,47,A,182310.61
USA,King Crab,16,A,217823.27
USA,Cod,36,B,155526.42
USA,Vannamei,14,B,337450.93
India,Black Tiger Shrimp,45,B,276496.82
EU,Freshwater Prawn,17,C,489689.66
India,Seabass,17,B,38268.35
EU,Dungeness Crab,7,B,42782.22
China,King Prawn,28,A,320473.79
Japan,Dungeness Crab,36,B,440043.51
Japan,Catfish,32,B,90472.15
Japan,Trout,11,A,462138.44
USA,King Prawn,48,B,37435.28
China,Tilapia,9,B,431524.46
EU,Catfish,17,C,437243.14
Japan,Black Tiger Shrimp,43,A,477146.64
China,Snapper,48,B,63391.32
USA,Dungeness Crab,15,A,218181.91
India,Blue Swimmer Crab,25,C,107243.82
EU,Vannamei,6,B,88296.77
India,Freshwater Prawn,28,A,451978.12
Japan,Tuna,30,B,59514.31
USA,Banana Prawn,18,A,434932.25
EU,Milkfish,47,B,444911.95
EU,Banana Prawn,37,B,216072.38
Japan,Cod,6,C,460643.97
China,Mud Crab,5,A,195941.22
EU,Milkfish,13,A,495863.11
India,Dungeness Crab,49,A,329874.13
Japan,King Prawn,40,B,292572.42
EU,Soft Shell Crab,10,C,496265.96
India,Trout,5,C,52972.4
USA,Tiger Prawn,2,B,37829.65
India,Cod,11,B,444021.56
EU,Vannamei,3,A,116267.27
India,Dungeness Crab,9,B,428089.24
EU,Salmon,28,B,230336.78
Japan,Catfish,42,C,378923.15
China,Mud Crab,9,A,337902.89
USA,Banana Prawn,26,C,379978.09
USA,Mud Crab,36,B,422918.49
USA,Snapper,7,C,390778.06
EU,Banana Prawn,4,A,159731.23
USA,Milkfish,18,A,231751.14
India,Cod,8,A,390788.94
Japan,King Prawn,47,A,454393.34
USA,Rohu,6,C,479210.42
USA,Tiger Prawn,16,A,78120.84
USA,Blue Swimmer Crab,3,B,101727.5
USA,Trout,15,A,114753.99
Japan,Whiteleg Shrimp,7,B,254548.88
China,Vannamei,23,A,439446.52
Japan,Rohu,6,B,66738.41
USA,Tilapia,25,B,181326.33
EU,Tiger Prawn,35,A,42522.96
EU,Tilapia,48,B,55211.84
USA,Banana Prawn,26,B,495189.04
EU,Grouper,36,C,243032.37
Japan,Whiteleg Shrimp,11,B,175996.1
EU,Whiteleg Shrimp,30,C,379757.2
China,Grouper,36,B,95410.37
India,Cod,22,C,125817.07
Japan,Barramundi,29,B,371119.55
China,Vannamei,7,C,329302.72
Japan,Seabass,24,A,131209.01
EU,Milkfish,50,A,196645.38
USA,Tuna,14,B,232058.22
Japan,Black Tiger Shrimp,50,B,201484.85
Japan,Pangasius,42,B,279863.86
EU,Cod,17,A,420773.06
China,Freshwater Prawn,29,B,252001.52
China,Cod,36,C,289435.29
China,Pangasius,17,B,411843.67
EU,King Crab,2,A,410157.44
India,Cod,29,A,132451.52
India,Pangasius,46,C,32168.59
USA,Tilapia,6,B,240912.41
India,Black Tiger Shrimp,49,B,84447.46
India,Pangasius,1,C,63968.21
EU,King Crab,37,A,313776.09
EU,Vannamei,30,B,146753.08
India,Blue Swimmer Crab,11,C,35766.48
India,Blue Swimmer Crab,42,A,164137.62
China,Cod,49,B,224798.31
China,Salmon,19,A,356388.65
USA,Dungeness Crab,36,C,124193.26
EU,Black Tiger Shrimp,4,C,365810.41
India,Pangasius,48,B,218356.94
USA,Tiger Prawn,41,B,335217.89
India,Catfish,22,B,166594.42
Japan,Soft Shell Crab,50,B,189344.22
Japan,King Crab,2,C,32838.64
EU,Tuna,49,B,353063.8
Japan,Catfish,27,C,430202.31
USA,Pangasius,23,A,158273.22
Japan,Rohu,23,A,195284.39
China,Freshwater Prawn,10,A,35263.06
China,Freshwater Prawn,2,A,13081.41
USA,Mud Crab,26,C,84917.05
China,Carp,6,C,283071.59
China,Mud Crab,15,B,224374.03
Japan,Carp,31,A,247759.66
China,Catfish,15,C,156095.24
USA,Pangasius,22,C,68207.14
Japan,Seabass,26,B,388766.27
India,Grouper,3,A,330598.66
EU,Tilapia,34,A,194287.75
USA,Tilapia,39,A,308810.06
USA,Carp,27,C,39577.23
USA,Pangasius,45,C,169305.21
USA,Blue Swimmer Crab,28,A,258746.38
India,Banana Prawn,8,A,95763.83
USA,Barramundi,18,C,169154.63
China,Snapper,38,A,49897.89
Japan,Mud Crab,18,B,214252.1
Japan,Barramundi,16,B,316945.52
China,Grouper,34,B,421861.8
India,Vannamei,39,A,199204.59
India,Mud Crab,32,C,64570.29
Japan,Pangasius,25,A,26124.97
Japan,Tilapia,25,A,45742.78
EU,Soft Shell Crab,42,C,431871.79
India,Banana Prawn,36,B,463500.44
China,Carp,12,C,313602.94
EU,Rohu,16,A,380201.28
USA,Mud Crab,38,B,27200.7
India,Dungeness Crab,50,B,495287.31
EU,Vannamei,33,C,26852.94
EU,Grouper,21,B,316263.76
India,King Crab,23,C,246766.58
EU,Whiteleg Shrimp,35,C,85715.41
EU,King Prawn,3,B,434314.87
India,Catfish,9,A,338486.34
Japan,Blue Swimmer Crab,40,A,39226.98
India,Freshwater Prawn,24,B,29379.97
India,Soft Shell Crab,33,A,31023.29
USA,Pangasius,47,B,174806.94
Japan,Seabass,48,B,410631.57
Japan,Salmon,11,B,435823.89
USA,Barramundi,12,C,139051.57
USA,Milkfish,20,B,278346.91
India,Carp,15,B,470478.16
China,Barramundi,22,C,43857.29
Japan,Grouper,33,C,100117.14
India,Snapper,20,B,494556.35
India,Catfish,1,B,450041.53
Japan,Salmon,42,A,220710.11
China,Trout,48,C,345095.61
EU,Tilapia,18,C,198668.01
USA,Rohu,1,B,224259.37
Japan,Catfish,35,A,162287.81
Japan,Seabass,38,B,391956.42
Japan,Pangasius,29,B,323538.04
China,Milkfish,30,A,48403.21
Japan,Mud Crab,43,A,40576.29
EU,Whiteleg Shrimp,33,C,146670.9
Japan,Snapper,31,B,494353.58
Japan,Snapper,40,B,430852.09
India,Black Tiger Shrimp,7,C,103316.25
India,Pangasius,41,B,40622.21
Japan,Freshwater Prawn,33,A,445932.59
USA,Catfish,37,A,145613.99
USA,Salmon,22,B,29516.69
China,Blue Swimmer Crab,26,C,415140.05
India,Black Tiger Shrimp,43,A,65894.25
China,Tiger Prawn,48,A,307909.91
USA,Banana Prawn,1,B,75960.53
USA,Vannamei,7,C,294394.04
India,Pangasius,46,A,465606.92
India,Mud Crab,19,B,85543.18
USA,Cod,44,A,174932.1
EU,Grouper,46,C,415667.78
EU,Salmon,14,A,446053.97
India,Catfish,10,A,29961.81
China,Blue Swimmer Crab,13,C,102710.71
EU,Vannamei,6,A,125712.48
USA,Black Tiger Shrimp,24,C,236638.17
China,Snow Crab,13,C,157906.98
India,Snow Crab,41,A,457823.13
Japan,Dungeness Crab,13,C,311203.65
Japan,Tuna,31,B,253720.4
China,Barramundi,35,C,438069.13
India,Soft Shell Crab,34,C,254567.93
Japan,Dungeness Crab,49,C,475902.54
Japan,Cod,25,C,54614.62
China,Whiteleg Shrimp,39,A,498303.2
EU,Catfish,32,A,234530.21
China,Vannamei,4,A,224579.07
Japan,Tilapia,42,B,461581.82
China,Snapper,24,C,384721.8
India,Snow Crab,2,B,18427.49
EU,Black Tiger Shrimp,8,A,22677.39
Japan,Black Tiger Shrimp,17,C,91145.4
Japan,Blue Swimmer Crab,25,A,290649.4
Japan,Banana Prawn,13,C,230441.46
China,Catfish,9,A,453341.94
USA,Tilapia,14,C,174136.48
China,Rohu,19,A,374817.24
Japan,Snapper,42,A,68473.8
India,Pangasius,44,A,327604.26
China,Barramundi,42,A,170433.08
USA,Grouper,39,A,421327.49
USA,Black Tiger Shrimp,11,A,188825.87
EU,Banana Prawn,31,A,166400.75
EU,Tilapia,47,B,131307.02
India,Dungeness Crab,22,B,425318.36
China,Catfish,25,B,488761.3
USA,Grouper,14,B,282923.56
USA,Tilapia,33,A,70387.64
Japan,Seabass,8,B,235669.26
Japan,Black Tiger Shrimp,47,C,317359.34
USA,Snapper,20,C,472461.83
China,Cod,42,A,150923.32
India,Blue Swimmer Crab,28,A,214702.81
EU,Trout,50,B,321568.23
Japan,King Prawn,8,C,371014.86
Japan,Black Tiger Shrimp,6,C,312182.48
USA,Carp,41,A,230408.67
EU,Vannamei,47,A,496106.63
China,Cod,32,C,49870.01
China,Blue Swimmer Crab,40,A,92102.47
Japan,Dungeness Crab,41,C,101402.59
USA,Catfish,48,C,43964.81
USA,Freshwater Prawn,43,A,96518.81
EU,Seabass,34,C,184556.1
Japan,Pangasius,43,A,463176.88
USA,Cod,48,A,402893.02
Japan,Vannamei,14,A,217643.14
USA,Whiteleg Shrimp,12,C,239506.15
USA,Dungeness Crab,36,B,381810.09
EU,Soft Shell Crab,19,B,344531.09
India,Grouper,44,C,122518.42
USA,Catfish,33,A,23913.69
Japan,Mud Crab,20,C,222993.7
EU,Dungeness Crab,18,B,96417.94
India,Whiteleg Shrimp,22,B,55231.76
EU,Milkfish,27,C,391652.02
China,King Prawn,11,A,121809.78
EU,Snow Crab,4,A,109939.36
Japan,Vannamei,42,B,81498.94
Japan,Freshwater Prawn,9,A,206329.28
India,King Crab,14,A,296024.47
Japan,Dungeness Crab,40,C,422264.75
USA,Salmon,21,B,278167.17
EU,Salmon,48,C,322668.41
USA,Catfish,50,C,494737.82
EU,Tuna,27,B,465665.7
Japan,Trout,30,C,96049.4
India,Trout,30,B,470453.41
EU,Freshwater Prawn,50,B,41064.24
India,Pangasius,19,C,372635.41
China,Grouper,9,A,48194.28
USA,Seabass,1,C,423764.03
EU,King Crab,4,A,151265.15
Japan,Vannamei,20,C,491722.58
China,Tuna,14,A,189965.28
USA,Banana Prawn,32,A,333024.87
India,Milkfish,2,B,23899.3
Japan,King Prawn,29,C,254978.83
China,Cod,27,C,366391.27
USA,Barramundi,24,B,383651.08
Japan,Carp,20,B,274786.17
China,King Prawn,41,A,496960.85
EU,Vannamei,33,B,319053.31
EU,Mud Crab,48,A,159014.37
Japan,Pangasius,12,A,331454.01
EU,Seabass,32,C,337616.3
Japan,King Prawn,23,C,157181.09
China,Milkfish,8,B,420423.79
USA,Salmon,30,C,258543.72
China,King Crab,29,A,250609.09
EU,Black Tiger Shrimp,23,B,495876.46
China,Black Tiger Shrimp,39,B,412852.3
EU,Snow Crab,42,A,463368.51
Japan,King Crab,35,B,212252.28
China,Milkfish,44,A,379463.08
China,Banana Prawn,40,C,385410.43
EU,King Prawn,21,C,474709.48
USA,King Crab,26,A,207697.09
USA,Tuna,13,B,59919.49
EU,Seabass,42,C,333848.16
China,Tuna,33,A,338269.64
China,Cod,12,B,37787.8
USA,Grouper,43,A,69196.9
China,Tiger Prawn,25,B,108936.52
China,Trout,36,B,395742.49
Japan,Mud Crab,33,B,26719.12
EU,King Prawn,13,C,175398.98
China,Banana Prawn,44,C,126012.65
Japan,Tilapia,30,A,74781.24
China,Tilapia,5,C,466100.41
China,King Crab,26,A,186785.72
India,Banana Prawn,7,A,359622.17
USA,Catfish,23,B,225721.39
EU,Black Tiger Shrimp,49,C,18173.73
EU,Grouper,5,A,419436.19
China,Snapper,10,B,453379.35
EU,Tilapia,36,C,187643.35
USA,Freshwater Prawn,30,A,458604.06
EU,Trout,17,B,175762.17
Japan,Banana Prawn,48,A,42151.09
EU,Carp,10,B,354051.25
Japan,Whiteleg Shrimp,6,B,493682.0
Japan,Freshwater Prawn,50,A,316058.3
USA,Whiteleg Shrimp,9,B,417505.59
Japan,Salmon,6,A,129566.69
China,Dungeness Crab,26,B,135116.17
USA,Tuna,7,B,459580.96
China,Seabass,35,B,222890.48
India,Carp,9,B,170480.78
USA,Black Tiger Shrimp,8,B,434968.47
India,Soft Shell Crab,1,C,33290.56
Japan,King Prawn,2,C,64018.57
Japan,Tiger Prawn,26,A,74902.43
Japan,Snow Crab,45,C,374040.18
Japan,Snapper,33,A,254236.4
India,Rohu,17,A,125377.98
China,Seabass,18,B,261990.13
USA,Cod,19,A,93693.07
USA,Snapper,9,C,132304.9
China,Freshwater Prawn,29,A,426175.64
Japan,Mud Crab,25,C,114148.97
USA,Black Tiger Shrimp,38,C,363131.84
India,Catfish,8,C,62069.23
Japan,Whiteleg Shrimp,8,A,236606.45
Japan,Tilapia,39,B,491413.9
China,Barramundi,13,A,112732.96
China,Soft Shell Crab,20,C,243876.28
USA,Barramundi,2,C,355897.5
China,Seabass,24,A,72525.39
USA,King Crab,24,B,391205.3
Japan,Tuna,5,A,411813.04
USA,Freshwater Prawn,26,C,182588.45
India,Freshwater Prawn,34,C,356195.93
Japan,Vannamei,33,B,56390.83
EU,Mud Crab,15,B,351638.18
India,Seabass,34,A,360968.0
India,King Prawn,36,A,354068.42
USA,Barramundi,29,A,361995.53
China,Snapper,3,A,147702.0
Japan,Tuna,49,B,320173.89
USA,King Prawn,41,A,32213.63
China,Vannamei,25,C,321193.26
China,Salmon,24,B,314787.86
Japan,Snapper,33,C,125708.84
India,Banana Prawn,42,B,398562.81
India,Mud Crab,10,B,343979.47
USA,Blue Swimmer Crab,9,A,304279.5
Japan,Dungeness Crab,43,B,287408.82
India,King Crab,3,A,40515.93
China,Tiger Prawn,5,A,425833.76
USA,Blue Swimmer Crab,49,B,66847.7
USA,Pangasius,39,A,397938.16
EU,Milkfish,2,A,344752.37
USA,Trout,27,B,92460.7
India,King Crab,18,B,493904.17
EU,Snow Crab,8,B,168440.74
EU,Banana Prawn,25,A,60679.03
India,Salmon,15,B,141437.94
Japan,Barramundi,21,C,173972.0
India,Soft Shell Crab,2,B,256471.78
EU,Rohu,23,A,478880.78
USA,Black Tiger Shrimp,20,C,472583.58
Japan,Dungeness Crab,50,A,207595.07
EU,Soft Shell Crab,42,B,28151.04
EU,Rohu,38,C,447093.93
USA,King Crab,2,C,266364.02
China,Pangasius,46,A,230312.51
China,Cod,9,C,352616.07
USA,Cod,15,C,157629.29
India,Carp,20,C,277927.41
EU,Catfish,3,C,471956.24
India,Blue Swimmer Crab,7,B,280271.11
USA,Dungeness Crab,20,C,167348.83
India,Carp,19,A,320552.86
Japan,Freshwater Prawn,6,B,55740.74
USA,Carp,39,C,325041.46
USA,Pangasius,4,A,43497.36
USA,Pangasius,2,A,212773.65
India,Pangasius,41,C,189334.45
India,Cod,18,B,146340.65
EU,Mud Crab,5,A,40797.5
Japan,Whiteleg Shrimp,47,C,414286.14
USA,Banana Prawn,48,A,366554.52
China,Grouper,43,A,73995.77
EU,Salmon,13,B,462120.2
China,Whiteleg Shrimp,18,C,362447.08
USA,Banana Prawn,29,B,270219.9
EU,Soft Shell Crab,18,C,18074.78
China,Dungeness Crab,36,B,54939.03
India,Mud Crab,12,C,270179.55
USA,Cod,38,B,403124.18
China,King Crab,26,B,428883.88
EU,Rohu,10,A,414897.5
China,Snapper,48,C,182189.07
India,Milkfish,11,A,256513.1
USA,Whiteleg Shrimp,26,A,90653.93
India,Black Tiger Shrimp,9,C,151343.81
Japan,Cod,32,B,97355.87
India,King Crab,2,A,398681.95
EU,Milkfish,46,B,321447.6
China,Tiger Prawn,48,C,305890.3
EU,Rohu,40,B,28009.97
Japan,Vannamei,47,B,110166.62
Japan,Snapper,42,A,202549.4
EU,Mud Crab,25,A,196506.68
India,Soft Shell Crab,21,B,234546.64
China,Whiteleg Shrimp,19,B,430158.49
Japan,Snow Crab,5,C,448574.84
USA,Mud Crab,29,B,291079.63
Japan,Catfish,26,C,222924.44
Japan,Catfish,34,B,248149.36
China,Grouper,30,A,231872.19
Japan,Dungeness Crab,24,B,125067.76
USA,Milkfish,15,C,478702.95
India,Freshwater Prawn,1,C,373684.73
Japan,Banana Prawn,20,B,167962.32
USA,Mud Crab,6,A,324041.63
USA,Seabass,10,B,121492.33
India,Seabass,44,B,38523.89
EU,Freshwater Prawn,5,A,264944.45
China,Salmon,18,B,104949.36
USA,Seabass,41,B,404059.32
EU,Tiger Prawn,38,A,454673.83
China,Dungeness Crab,13,A,238855.8
EU,Black Tiger Shrimp,19,A,177184.78
Japan,Tiger Prawn,25,A,393091.92
USA,Dungeness Crab,5,B,106630.31
USA,Trout,10,A,473829.22
India,Seabass,14,C,158145.3
EU,Blue Swimmer Crab,44,B,404610.27
EU,Catfish,27,B,460391.6
Japan,Milkfish,14,C,290940.0
USA,Barramundi,44,B,145016.23
USA,King Crab,8,A,405329.94
China,Salmon,29,B,462374.43
Japan,Seabass,45,B,313649.25
USA,Tiger Prawn,20,B,124405.24
EU,Catfish,26,B,46468.6
EU,Catfish,24,C,136264.46
USA,Trout,44,C,39696.42
EU,Carp,22,B,17654.63
EU,Barramundi,47,B,361882.43
India,King Prawn,12,A,497238.11
USA,Pangasius,26,B,292106.63
China,King Prawn,20,B,432968.65
Japan,Tiger Prawn,10,A,202876.23
Japan,Cod,27,C,146030.52
EU,King Crab,23,C,263852.35
China,Milkfish,19,B,386206.7
USA,Milkfish,9,A,410178.14
China,Tiger Prawn,6,A,264784.35
India,Pangasius,5,A,146086.62
EU,King Prawn,33,C,481025.8
India,Snapper,44,C,360757.51
EU,Freshwater Prawn,9,B,326948.99
USA,King Crab,41,B,462239.65
India,Whiteleg Shrimp,38,A,279604.53
Japan,Black Tiger Shrimp,43,B,247910.49
Japan,Trout,50,C,189873.6
China,Salmon,26,B,242313.35
EU,Tuna,19,A,438250.81
India,Tuna,42,B,450235.63
China,Banana Prawn,23,C,151133.18
India,Snapper,49,B,458779.5
EU,Tuna,43,C,491823.77
China,Tilapia,26,A,323548.53
USA,Rohu,17,A,466463.63
India,Tuna,44,A,393599.02
India,Mud Crab,34,A,483493.08
China,Vannamei,3,C,15832.42
USA,Banana Prawn,42,C,322200.71
India,Pangasius,16,C,378823.37
Japan,Snow Crab,47,A,148088.62
USA,Rohu,31,C,50786.68
China,Salmon,6,C,425528.55
India,Snow Crab,19,C,371144.62
USA,Whiteleg Shrimp,8,C,469669.3
Japan,Vannamei,17,A,299444.8
USA,Pangasius,49,B,496555.26
China,Snow Crab,27,A,481191.05
China,Cod,8,B,93614.17
India,Tilapia,17,C,414280.81
EU,Banana Prawn,3,C,234830.76
China,Pangasius,4,B,423126.17
USA,Carp,11,C,121826.95
EU,Whiteleg Shrimp,6,A,22274.05
Japan,Seabass,39,C,276695.32
Japan,Mud Crab,30,A,45535.08
China,Grouper,26,C,12178.39
USA,Carp,3,B,176008.79
Japan,Catfish,23,A,15137.27
EU,King Prawn,24,C,16575.08
EU,Vannamei,7,C,106174.08
China,Whiteleg Shrimp,7,C,265268.89
